id of the run;Costs;Peak Load;Thermal Discomfort
14;856.35;136.57;0.16
15;851.1;143.42;0.15
17;850.91;145.05;0.16
19;852.49;138.58;0.16
22;851.05;144.36;0.16
23;852.78;138.28;0.18
24;856.1;136.62;0.16
26;861.12;131.22;0.16
28;858.2;135.04;0.17
30;870.92;126.9;0.14
35;863.9;129.66;0.16
38;853.3;137.48;0.17
40;859.74;132.34;0.17
41;861.63;131.15;0.15
42;862.66;130.87;0.13
43;858.48;133.04;0.17
44;864.71;129.28;0.15
48;863.94;129.43;0.17
49;871.27;126.89;0.13
50;868.47;128.11;0.13
51;864.85;129.05;0.15
54;859.07;133.02;0.17
