id of the run;Costs;Peak Load;Thermal Discomfort
1;532.61;97.41;0.17
2;570.15;90.93;0.11
3;542.18;98.24;0.15
4;535.33;97.14;0.15
5;533.17;97.5;0.16
6;532.8;95.66;0.17
7;534.17;97.68;0.15
8;535.29;98.69;0.15
9;537.22;97.53;0.15
10;535.61;99.87;0.14
11;538.03;96.7;0.14
12;537.38;97.48;0.14
13;535.75;95.94;0.14
14;542.21;97.46;0.15
15;537.78;94.41;0.14
16;537.07;97.13;0.14
17;541.49;94.99;0.15
18;554.1;94.61;0.16
19;548.58;97.43;0.14
20;545.26;97.96;0.14
21;545.84;98.16;0.15
22;545.27;98.12;0.15
23;556.33;94.99;0.15
24;549.96;96.31;0.16
25;554.84;95.29;0.15
26;545.91;98.02;0.14
27;565.2;91.92;0.13
28;562.47;94.26;0.14
29;559.28;93.54;0.15
30;558.21;94.06;0.15
31;558.86;93.54;0.15
32;557.59;93.8;0.15
33;564.85;91.6;0.13
34;567.42;91.86;0.13
35;567.21;91.35;0.13
36;564.7;91.58;0.13
37;566.22;91.55;0.13
38;566.1;91.65;0.13
39;565.47;91.6;0.14
40;566.89;91.42;0.13
41;567.21;91.59;0.13
42;556.87;94.64;0.15
43;561.13;92.72;0.14
44;564.19;91.74;0.13
45;569.14;90.93;0.12
46;568.33;91.21;0.13
47;570.06;90.94;0.12
48;567.39;91.22;0.13
49;570.87;90.94;0.12
50;561.45;92.94;0.14
51;560.01;93.51;0.15
52;560.24;93.27;0.15
53;562.97;92.41;0.14
54;564.09;92.15;0.14
55;561.29;92.64;0.14
56;560.38;92.58;0.14
