id of the run;Costs;Peak Load;Thermal Discomfort
1;506.04;69.96;0.19
4;507.95;66.91;0.16
6;506.48;69.89;0.17
7;507.57;67.33;0.15
9;507.9;67.02;0.17
12;510.54;66.11;0.17
13;509.54;66.33;0.17
14;509.46;66.35;0.17
15;511.6;65.88;0.17
16;510.04;66.14;0.17
18;511.81;65.53;0.17
20;510.92;65.98;0.17
21;525.04;62.31;0.14
24;514.53;64.71;0.18
25;513.25;64.94;0.15
26;512.6;65.51;0.18
27;515.05;64.57;0.17
29;519.08;63.52;0.15
32;516.32;64.38;0.16
37;518.81;63.89;0.15
38;522.02;62.88;0.14
39;520.12;63.46;0.15
46;518.17;64.01;0.15
49;524.97;62.51;0.16
50;521.67;63.07;0.15
52;520.48;63.44;0.15
59;515.8;64.44;0.15
61;517.17;64.08;0.16
