Costs;Peak Load;id of the run;Thermal Discomfort
396.29;120.06;67;0.19
396.31;119.9;35;0.19
396.36;119.56;19;0.17
396.41;119.39;69;0.19
396.42;119.23;36;0.18
396.46;119.06;70;0.18
396.48;118.72;71;0.18
396.55;118.56;37;0.19
396.62;118.22;20;0.19
396.68;117.89;38;0.18
396.69;117.55;7;0.19
396.78;117.22;39;0.19
396.8;116.88;21;0.18
396.91;116.22;12;0.18
397.02;115.88;41;0.19
397.09;115.21;42;0.18
397.23;114.88;5;0.19
397.36;114.54;43;0.19
397.4;114.21;23;0.19
397.42;113.54;13;0.19
397.58;113.21;45;0.18
397.65;112.54;46;0.18
397.76;111.87;47;0.18
397.87;111.2;48;0.17
397.96;110.86;14;0.18
398.15;110.2;26;0.19
398.27;109.86;50;0.18
398.34;109.19;51;0.18
398.49;108.86;27;0.19
398.55;107.85;53;0.18
398.7;107.52;28;0.18
398.74;107.18;54;0.18
398.83;106.52;55;0.18
398.9;106.18;29;0.2
399.02;105.85;56;0.18
399.1;105.18;57;0.17
399.33;104.84;30;0.18
399.35;104.51;58;0.18
399.36;104.18;6;0.2
399.46;103.84;59;0.19
399.55;103.51;31;0.18
399.67;102.5;61;0.18
399.9;102.17;32;0.19
399.91;101.5;10;0.17
399.98;101.16;63;0.19
400.1;100.5;64;0.19
400.28;100.16;18;0.17
400.48;99.83;65;0.19
400.54;99.49;34;0.2
400.57;99.16;66;0.19
400.71;98.82;3;0.17
393.87;139.69;100;0.18
418.64;103.26;101;0.17
400.66;98.95;102;0.19
395.56;124.72;103;0.17
395.14;127.66;104;0.18
395.4;125.6;105;0.18
395.38;125.64;106;0.18
407.97;95.28;107;0.15
396.99;116.49;108;0.18
398.08;110.8;109;0.18
399.98;101.72;110;0.18
400.33;100.02;111;0.18
400.91;98.37;112;0.19
407.94;97.08;113;0.15
403.63;92.88;114;0.18
402.41;94.38;115;0.16
406.12;92.28;116;0.18
412.06;94.08;117;0.17
409.93;94.68;118;0.16
408.19;97.68;119;0.15
409.9;95.28;120;0.15
413.64;93.69;121;0.15
412.21;94.08;122;0.17
409.96;94.08;123;0.15
451.47;100.98;124;0.09
419.43;103.32;125;0.16
418.66;103.28;126;0.14
413.23;93.48;127;0.15
389.07;219.89;128;0.18
415.47;103.86;129;0.17
451.47;100.98;130;0.09
451.47;100.98;131;0.09
419.08;103.26;132;0.15
451.47;100.98;133;0.09
417.87;103.36;134;0.15
419.03;103.28;135;0.14
419.57;103.28;136;0.14
418.54;103.32;137;0.15
418.69;103.28;138;0.15
451.47;100.98;139;0.09
419.15;103.28;140;0.16
413.61;93.48;141;0.18
412.06;92.33;142;0.17
412.35;92.88;143;0.17
413.33;96.84;144;0.15
412.81;94.68;145;0.16
409.84;95.88;146;0.15
412.64;97.08;147;0.16
412.82;94.08;148;0.16
409.95;96.48;149;0.16
409.87;94.68;150;0.16
409.73;95.28;151;0.16
