timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;21.57;132.49;0.0;0.0;732.2;-732.2;-0.55;0.0;0.0;0.0;0.0;-2.0;-1.5;4.08;1.38
2;00:30;0.0;0.0;21.35;132.06;0.0;0.0;127.54;-127.54;-0.1;0.0;0.0;0.0;0.15;-2.0;-1.5;4.08;1.38
3;01:00;1.0;0.0;22.05;131.63;0.0;0.0;3132.89;-3132.89;-5.8;0.0;0.0;0.0;0.0;-2.05;-3.7;4.07;1.37
4;01:30;0.2;0.0;21.99;131.2;0.0;0.0;743.23;-743.23;-1.37;0.0;0.0;0.0;0.0;-2.15;-3.7;4.05;1.35
5;02:00;0.2;0.0;21.93;130.77;0.0;0.0;744.94;-744.94;-2.12;0.0;0.0;0.0;0.0;-2.3;-5.7;4.03;1.33
6;02:30;0.26;0.0;21.93;130.34;0.0;0.0;899.68;-899.68;-2.56;0.0;0.0;0.0;0.0;-2.5;-5.7;3.99;1.29
7;03:00;0.27;0.0;21.93;129.91;0.0;0.0;1067.95;-1067.95;-3.58;0.0;0.0;0.0;0.0;-2.72;-6.7;3.95;1.25
8;03:30;0.29;0.0;21.93;129.48;0.0;0.0;1426.32;-1426.32;-4.78;0.0;0.0;0.0;0.0;-2.97;-6.7;3.91;1.21
9;04:00;0.34;0.0;21.93;129.05;0.0;0.0;1791.73;-1791.73;-5.11;0.0;0.0;0.0;0.0;-3.24;-5.7;3.86;1.16
10;04:30;0.43;0.0;21.93;128.62;0.0;0.0;2217.02;-2217.02;-6.32;0.0;0.0;0.0;0.0;-3.54;-5.7;3.8;1.1
11;05:00;0.49;0.0;21.93;128.19;0.0;0.0;2357.88;-2357.88;-2.71;0.0;0.0;0.0;0.0;-3.8;-2.3;3.76;1.06
12;05:30;0.52;0.0;21.93;127.76;0.0;0.0;2208.21;-2208.21;-2.54;0.0;0.0;0.0;0.0;-4.0;-2.3;3.72;1.02
13;06:00;0.52;0.0;21.93;127.32;0.0;0.0;2067.55;-2067.55;-27.5;0.0;0.0;0.0;0.0;-4.27;-26.6;3.67;1.0
14;06:30;0.48;0.0;21.93;126.89;0.0;0.0;1856.73;-1856.73;-24.69;0.0;0.0;0.0;0.0;-4.62;-26.6;3.61;1.0
15;07:00;0.49;0.0;21.93;87.01;0.0;0.0;1806.75;-1806.75;-16.71;0.0;0.0;0.0;0.0;-4.87;-18.5;3.56;1.0
16;07:30;0.57;0.0;21.93;86.58;0.0;0.0;1918.48;-1918.48;-17.75;0.0;0.0;0.0;0.0;-5.02;-18.5;3.54;1.0
17;08:00;0.58;0.0;21.93;86.15;0.0;0.0;2069.91;-2069.91;-8.8;0.0;0.0;0.0;0.0;-5.34;-8.5;3.48;1.0
18;08:30;0.53;0.0;21.93;82.44;0.0;0.0;2250.19;-2250.19;-9.56;0.0;0.0;0.0;0.0;-5.84;-8.5;3.39;1.0
19;09:00;0.5;0.0;21.93;82.01;0.0;0.0;2249.53;-2249.53;-0.11;0.0;0.0;0.0;0.0;-6.03;-0.1;3.36;1.0
20;09:30;0.0;1.0;21.52;75.0;0.0;0.0;3507.46;-3507.46;-0.18;0.0;0.0;0.0;0.0;-5.88;-0.1;3.38;1.0
21;10:00;1.0;0.0;21.9;74.57;0.0;0.0;3338.15;-3338.15;6.68;0.0;0.0;0.0;0.0;-5.63;4.0;3.43;1.0
22;10:30;0.0;1.0;21.48;102.84;0.0;0.0;3219.32;-3219.32;6.44;0.0;0.0;0.0;0.02;-5.28;4.0;3.49;1.0
23;11:00;1.0;0.0;21.9;102.41;0.0;0.0;3347.86;-3347.86;13.89;0.0;0.0;0.0;0.0;-4.98;8.3;3.54;1.0
24;11:30;0.38;0.0;21.9;101.05;0.0;0.0;1876.88;-1876.88;7.79;0.0;0.0;0.0;0.0;-4.73;8.3;3.59;1.0
25;12:00;0.35;0.0;21.9;100.62;0.0;0.0;2095.86;-2095.86;7.44;0.0;0.0;0.0;0.0;-4.58;7.1;3.62;1.0
26;12:30;0.39;0.0;21.9;100.19;0.0;0.0;2420.23;-2420.23;8.59;0.0;0.0;0.0;0.0;-4.53;7.1;3.63;1.0
