timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;4700.0;21.58;132.49;43.49;26.09;0.0;0.0;5421.26;-5421.26;-4.07;2142.4;0.0;121.3;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38
2;00:30;0.0;0.0;0.0;21.4;132.06;43.49;26.09;0.0;0.0;121.22;-121.22;-0.09;2339.4;0.0;121.2;1.0;0.0;0.1;-2.0;-1.5;4.08;1.38
3;01:00;0.0;0.0;0.0;21.2;131.63;43.49;26.09;0.0;0.0;121.87;-121.87;-0.23;2535.9;0.0;121.9;1.0;0.0;0.3;-2.05;-3.7;4.07;1.37
4;01:30;1.0;0.0;0.0;21.92;131.2;43.49;26.09;0.0;0.0;3121.7;-3121.7;-5.78;2733.8;0.0;121.7;1.0;0.0;0.0;-2.15;-3.7;4.05;1.35
5;02:00;0.24;0.0;0.0;21.92;130.77;43.49;26.09;0.0;0.0;855.76;-855.76;-2.44;2878.9;0.0;129.6;1.0;0.0;0.0;-2.3;-5.7;4.03;1.33
6;02:30;0.26;0.0;0.0;21.92;130.34;43.49;26.09;0.0;0.0;927.43;-927.43;-2.64;3075.3;0.0;145.5;1.0;0.0;0.0;-2.5;-5.7;3.99;1.29
7;03:00;0.28;0.0;0.0;21.92;129.91;43.49;26.09;0.0;0.0;983.17;-983.17;-3.29;3237.5;0.0;152.2;1.0;0.0;0.0;-2.72;-6.7;3.95;1.25
8;03:30;0.29;0.0;0.0;21.92;129.48;43.49;26.09;0.0;0.0;1029.11;-1029.11;-3.45;3376.7;0.0;152.9;1.0;0.0;0.0;-2.97;-6.7;3.91;1.21
9;04:00;0.3;0.0;0.0;21.92;129.05;43.49;26.09;0.0;0.0;1200.5;-1200.5;-3.42;3444.9;0.0;295.4;1.0;0.0;0.0;-3.24;-5.7;3.86;1.16
10;04:30;0.32;0.0;0.0;21.92;128.62;43.49;26.09;0.0;0.0;1541.63;-1541.63;-4.39;3586.7;0.0;586.4;1.0;0.0;0.0;-3.54;-5.7;3.8;1.1
11;05:00;0.35;0.0;0.0;21.92;128.19;43.49;26.09;0.0;0.0;1898.48;-1898.48;-2.18;3943.1;0.0;836.9;1.0;0.0;0.0;-3.8;-2.3;3.76;1.06
12;05:30;0.42;0.0;0.0;21.92;127.76;43.49;26.09;0.0;0.0;2320.97;-2320.97;-2.67;4641.1;0.0;1061.5;1.0;0.0;0.0;-4.0;-2.3;3.72;1.02
13;06:00;0.48;0.0;0.0;21.92;127.32;43.49;26.09;0.0;0.0;2484.98;-2484.98;-33.05;5283.1;0.0;1033.8;1.0;0.0;0.0;-4.27;-26.6;3.67;1.0
14;06:30;0.53;0.0;0.0;21.92;126.89;43.49;26.09;0.0;0.0;2332.71;-2332.71;-31.03;5686.9;0.0;744.3;1.0;0.0;0.0;-4.62;-26.6;3.61;1.0
15;07:00;0.56;0.0;0.0;21.92;84.22;42.94;25.76;0.0;0.0;2205.08;-2205.08;-20.4;5905.6;4415.2;535.0;0.0;1177272.7272727275;0.0;-4.87;-18.5;3.56;1.0
16;07:30;0.0;1.0;0.0;21.47;94.34;42.4;25.44;0.0;0.0;3419.74;-3419.74;-31.63;5840.3;1897.1;419.7;0.0;1177272.7272727275;0.03;-5.02;-18.5;3.54;1.0
17;08:00;1.0;0.0;0.0;21.8;93.71;41.85;25.11;0.0;0.0;3310.38;-3310.38;-14.07;6046.8;20.9;310.4;0.0;1177272.7272727275;0.0;-5.34;-8.5;3.48;1.0
18;08:30;0.65;0.0;0.0;21.8;87.46;41.31;24.78;0.0;0.0;2183.36;-2183.36;-9.28;6611.9;608.9;218.8;0.0;1177272.7272727275;0.0;-5.84;-8.5;3.39;1.0
19;09:00;0.66;0.0;0.0;21.8;87.03;40.76;24.46;0.0;0.0;2300.45;-2300.45;-0.12;6621.9;0.0;313.3;0.0;1177272.7272727275;0.0;-6.03;-0.1;3.36;1.0
20;09:30;0.0;1.0;0.0;21.34;78.41;40.22;24.13;0.0;0.0;3610.14;-3610.14;-0.18;6045.0;3855.4;610.1;0.0;1177272.7272727275;0.16;-5.88;-0.1;3.38;1.0
21;10:00;1.0;0.0;0.0;21.69;77.98;39.67;23.8;0.0;0.0;3692.12;-3692.12;7.38;5657.2;0.0;692.1;0.0;1177272.7272727275;0.0;-5.63;4.0;3.43;1.0
22;10:30;0.0;1.0;0.0;21.26;106.25;39.13;23.48;0.0;0.0;3558.32;-3558.32;7.12;5469.5;0.0;558.3;0.0;1177272.7272727275;0.24;-5.28;4.0;3.49;1.0
23;11:00;1.0;0.0;0.0;21.68;105.82;38.58;23.15;0.0;0.0;3416.81;-3416.81;14.18;5174.3;0.0;416.8;0.0;1177272.7272727275;0.0;-4.98;8.3;3.54;1.0
24;11:30;1.0;0.0;0.0;22.11;105.39;38.04;22.82;0.0;0.0;3262.24;-3262.24;13.54;5121.0;0.0;262.2;0.0;1177272.7272727275;0.0;-4.73;8.3;3.59;1.0
25;12:00;0.2;0.0;4700.0;21.91;104.96;41.52;24.91;0.0;0.0;5746.59;-5746.59;20.4;4691.9;0.0;446.6;1.0;0.0;0.0;-4.58;7.1;3.62;1.0
26;12:30;0.38;0.0;0.0;21.91;103.94;41.52;24.91;0.0;0.0;2104.27;-2104.27;7.47;4043.8;62.0;976.4;1.0;0.0;0.0;-4.53;7.1;3.63;1.0
27;13:00;0.37;0.0;0.0;21.91;103.51;41.52;24.91;0.0;0.0;2355.41;-2355.41;-2.0;3994.4;0.0;1245.3;1.0;0.0;0.0;-4.45;-1.7;3.64;1.0
28;13:30;0.41;0.0;0.0;21.91;103.08;41.52;24.91;0.0;0.0;2483.8;-2483.8;-2.11;4494.0;0.0;1242.5;1.0;0.0;0.0;-4.35;-1.7;3.66;1.0
29;14:00;0.44;0.0;0.0;21.91;102.65;40.98;24.59;0.0;0.0;2392.83;-2392.83;-2.03;4768.8;0.0;1082.8;0.0;1177272.7272727275;0.0;-4.25;-1.7;3.67;1.0
30;14:30;0.43;0.0;0.0;21.91;102.22;40.43;24.26;0.0;0.0;2036.61;-2036.61;-1.73;4720.6;0.0;746.1;0.0;1177272.7272727275;0.0;-4.15;-1.7;3.69;1.0
31;15:00;0.43;0.0;0.0;21.91;101.79;39.89;23.93;0.0;0.0;1885.39;-1885.39;-3.21;4753.1;0.0;590.8;0.0;1177272.7272727275;0.0;-4.08;-3.4;3.71;1.01
32;15:30;0.43;0.0;0.0;21.91;101.36;39.34;23.6;0.0;0.0;1892.11;-1892.11;-3.22;4777.9;0.0;594.0;0.0;1177272.7272727275;0.0;-4.03;-3.4;3.72;1.02
33;16:00;0.43;0.0;0.0;21.91;100.92;38.8;23.28;0.0;0.0;1884.0;-1884.0;-0.94;4806.6;0.0;582.9;0.0;1177272.7272727275;0.0;-3.95;-1.0;3.73;1.03
34;16:30;0.44;0.0;0.0;21.91;100.49;38.25;22.95;0.0;0.0;1874.07;-1874.07;-0.94;4890.7;0.0;556.7;0.0;1177272.7272727275;0.0;-3.85;-1.0;3.75;1.05
35;17:00;0.44;0.0;0.0;21.91;100.06;37.71;22.62;0.0;0.0;1999.46;-1999.46;11.9;4887.6;0.0;686.2;0.0;1177272.7272727275;0.0;-3.8;11.9;3.76;1.06
36;17:30;0.43;0.0;0.0;21.91;99.63;37.16;22.3;0.0;0.0;2261.83;-2261.83;13.46;4770.9;0.0;979.6;0.0;1177272.7272727275;0.0;-3.8;11.9;3.76;1.06
37;18:00;0.43;0.0;4700.0;21.91;99.2;40.65;24.39;0.0;0.0;7211.88;-7211.88;35.34;4792.0;0.0;1219.6;1.0;0.0;0.0;-3.87;9.8;3.74;1.04
