timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
38;18:30;0.44;0.0;21.9;95.19;0.0;0.0;2134.83;-2134.83;10.46;0.0;0.0;0.0;0.0;-4.02;9.8;3.72;1.02
39;19:00;0.42;0.0;21.9;92.29;0.0;0.0;1816.77;-1816.77;12.08;0.0;0.0;0.0;0.0;-3.91;13.3;3.74;1.04
40;19:30;0.37;0.0;21.9;91.86;0.0;0.0;1675.84;-1675.84;11.14;0.0;0.0;0.0;0.0;-3.51;13.3;3.81;1.11
41;20:00;0.34;0.0;21.9;91.43;0.0;0.0;1611.87;-1611.87;6.45;0.0;0.0;0.0;0.0;-3.01;8.0;3.9;1.2
42;20:30;0.33;0.0;21.9;91.0;0.0;0.0;1677.11;-1677.11;6.71;0.0;0.0;0.0;0.0;-2.41;8.0;4.01;1.31
43;21:00;0.26;0.0;21.9;90.57;0.0;0.0;1390.28;-1390.28;5.35;0.0;0.0;0.0;0.0;-1.86;7.7;4.11;1.41
44;21:30;0.2;0.0;21.95;90.14;0.0;0.0;897.38;-897.38;3.45;0.0;0.0;0.0;0.0;-1.36;7.7;4.2;1.5
45;22:00;0.2;0.0;22.03;89.71;0.0;0.0;727.65;-727.65;3.13;0.0;0.0;0.0;0.0;-0.98;8.6;4.26;1.56
46;22:30;0.2;0.0;22.09;89.28;0.0;0.0;702.67;-702.67;3.02;0.0;0.0;0.0;0.0;-0.73;8.6;4.31;1.61
47;23:00;0.2;0.0;22.13;88.85;0.0;0.0;692.59;-692.59;-1.25;0.0;0.0;0.0;0.0;-0.48;-3.6;4.35;1.65
48;23:30;0.2;0.0;22.15;88.42;0.0;0.0;702.8;-702.8;-1.27;2410.2;0.0;102.8;0.0;-0.23;-3.6;4.4;1.7
