timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.2;21.8;0.0;0.0;4638.17;-4638.17;-3.48;7847.0;1638.2;0.0;-2.0;-1.5;4.08;0.0;0.0
2;00:30;0.2;21.84;0.0;0.0;4398.72;-4398.72;-3.3;8321.3;1398.7;0.0;-2.0;-1.5;4.08;0.0;0.0
3;01:00;0.2;21.88;0.0;0.0;4249.39;-4249.39;-7.86;8714.4;1249.4;0.0;-2.05;-3.7;4.07;0.0;0.0
4;01:30;0.2;21.92;0.0;0.0;4196.38;-4196.38;-7.76;9020.7;1196.4;0.0;-2.15;-3.7;4.05;0.0;0.0
5;02:00;0.2;21.94;0.0;0.0;4171.4;-4171.4;-11.89;9686.0;1171.4;0.0;-2.3;-5.7;4.03;0.0;0.0
6;02:30;0.2;21.96;0.0;0.0;4176.39;-4176.39;-11.9;10735.0;1176.4;0.0;-2.5;-5.7;3.99;0.0;0.0
7;03:00;0.2;21.95;0.0;0.0;4368.93;-4368.93;-14.64;12044.2;1368.9;0.0;-2.72;-6.7;3.95;0.0;0.0
8;03:30;0.2;21.92;0.0;0.0;4761.97;-4761.97;-15.95;13631.4;1762.0;0.0;-2.97;-6.7;3.91;0.0;0.0
9;04:00;0.26;21.92;0.0;0.0;5784.32;-5784.32;-16.49;15044.8;1824.2;0.0;-3.24;-5.7;3.86;0.0;0.0
10;04:30;0.29;21.92;0.0;0.0;5872.08;-5872.08;-16.74;16272.4;1532.8;0.0;-3.54;-5.7;3.8;0.0;0.0
11;05:00;0.32;21.92;0.0;0.0;6854.69;-6854.69;-7.88;18041.2;1992.3;0.0;-3.8;-2.3;3.76;0.0;0.0
12;05:30;0.37;21.92;0.0;0.0;8794.68;-8794.68;-10.11;20388.6;3254.3;0.0;-4.0;-2.3;3.72;0.0;0.0
13;06:00;0.89;22.21;0.0;0.0;17526.13;-17526.13;-233.1;25113.5;4126.1;0.0;-4.27;-26.6;3.67;0.0;0.0
14;06:30;1.0;22.46;0.0;0.0;19580.73;-19580.73;-260.42;32379.6;4580.7;0.0;-4.62;-26.6;3.61;0.0;0.0
15;07:00;1.0;22.65;0.0;0.0;20014.18;-20014.18;-185.13;37408.1;5014.2;0.15;-4.87;-18.5;3.56;0.0;0.0
16;07:30;1.0;22.81;0.0;0.0;20424.96;-20424.96;-188.93;40044.7;5425.0;0.31;-5.02;-18.5;3.54;0.0;0.0
17;08:00;0.79;22.81;0.0;0.0;17015.41;-17015.41;-72.32;40972.3;5172.0;0.31;-5.34;-8.5;3.48;0.0;0.0
18;08:30;0.79;22.81;0.0;0.0;16102.17;-16102.17;-68.43;40073.1;4209.6;0.31;-5.84;-8.5;3.39;0.0;0.0
19;09:00;0.76;22.81;0.0;0.0;14588.02;-14588.02;-0.73;37826.7;3246.4;0.31;-6.03;-0.1;3.36;0.0;0.0
20;09:30;0.68;22.81;0.0;0.0;12443.49;-12443.49;-0.62;34140.1;2282.5;0.31;-5.88;-0.1;3.38;0.0;0.0
21;10:00;0.62;22.81;0.0;0.0;11213.46;-11213.46;22.43;31448.3;1969.7;0.31;-5.63;4.0;3.43;0.0;0.0
22;10:30;0.57;22.81;0.0;0.0;10963.21;-10963.21;21.93;29819.9;2353.0;0.31;-5.28;4.0;3.49;0.0;0.0
23;11:00;0.56;22.81;0.0;0.0;11847.9;-11847.9;49.17;29371.1;3496.3;0.31;-4.98;8.3;3.54;0.0;0.0
24;11:30;0.56;22.81;0.0;0.0;13925.15;-13925.15;57.79;30183.2;5452.0;0.31;-4.73;8.3;3.59;0.0;0.0
25;12:00;0.53;22.81;0.0;0.0;14014.44;-14014.44;49.75;28257.7;6138.4;0.31;-4.58;7.1;3.62;0.0;0.0
26;12:30;0.43;22.81;0.0;0.0;11986.16;-11986.16;42.55;23405.9;5467.9;0.31;-4.53;7.1;3.63;0.0;0.0
27;13:00;0.41;22.81;0.0;0.0;11001.04;-11001.04;-9.35;21909.6;4917.9;0.31;-4.45;-1.7;3.64;0.0;0.0
28;13:30;0.44;22.81;0.0;0.0;11121.59;-11121.59;-9.45;24000.4;4496.6;0.31;-4.35;-1.7;3.66;0.0;0.0
29;14:00;0.49;22.81;0.0;0.0;11411.5;-11411.5;-9.7;26921.9;4024.0;0.31;-4.25;-1.7;3.67;0.0;0.0
30;14:30;0.56;22.81;0.0;0.0;11879.51;-11879.51;-10.1;30731.4;3496.4;0.31;-4.15;-1.7;3.69;0.0;0.0
31;15:00;0.55;22.81;0.0;0.0;12275.06;-12275.06;-20.87;30548.3;3972.2;0.31;-4.08;-3.4;3.71;0.0;0.0
32;15:30;0.47;22.81;0.0;0.0;12605.4;-12605.4;-21.43;26097.3;5520.6;0.31;-4.03;-3.4;3.72;0.0;0.0
33;16:00;0.45;22.81;0.0;0.0;12756.33;-12756.33;-6.38;24973.2;5998.4;0.31;-3.95;-1.0;3.73;0.0;0.0
34;16:30;0.49;22.81;0.0;0.0;12706.29;-12706.29;-6.35;27405.5;5331.6;0.31;-3.85;-1.0;3.75;0.0;0.0
