timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;21.57;132.49;0.0;0.0;731.57;-731.57;-0.55;2331.0;0.0;131.6;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;0.0;21.35;132.06;0.0;0.0;129.41;-129.41;-0.1;2776.2;0.0;129.4;0.15;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;1.0;0.0;22.05;131.63;0.0;0.0;3131.67;-3131.67;-5.79;3077.9;0.0;131.7;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.2;0.0;21.99;131.2;0.0;0.0;743.54;-743.54;-1.38;3156.6;0.0;143.5;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.2;0.0;21.93;130.77;0.0;0.0;744.69;-744.69;-2.12;3139.7;0.0;144.7;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.26;0.0;21.93;130.34;0.0;0.0;912.26;-912.26;-2.6;3061.5;0.0;133.8;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.27;0.0;21.93;129.91;0.0;0.0;1068.32;-1068.32;-3.58;3134.5;0.0;263.4;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.29;0.0;21.93;129.48;0.0;0.0;1427.91;-1427.91;-4.78;3406.5;0.0;544.1;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.35;0.0;21.93;129.05;0.0;0.0;1816.15;-1816.15;-5.18;4010.3;0.0;764.4;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.43;0.0;21.93;128.62;0.0;0.0;2213.04;-2213.04;-6.31;4840.0;0.0;928.1;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.49;0.0;21.93;128.19;0.0;0.0;2368.33;-2368.33;-2.72;5473.7;0.0;899.3;0.0;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.52;0.0;21.93;127.76;0.0;0.0;2236.51;-2236.51;-2.57;5762.5;0.0;675.6;0.0;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.73;0.0;22.11;127.32;0.0;0.0;2698.08;-2698.08;-35.88;5657.3;0.0;508.8;0.0;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.78;0.0;22.36;126.89;0.0;0.0;2757.66;-2757.66;-36.68;5152.7;0.0;419.7;0.0;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.84;0.0;22.64;87.35;0.0;0.0;2847.08;-2847.08;-26.34;5256.0;4088.7;323.1;0.14;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.91;0.0;22.92;86.92;0.0;0.0;2956.03;-2956.03;-27.34;5972.7;0.0;218.0;0.42;-5.02;-18.5;3.54;1.0;0.0;0.0
