timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.2;0.0;21.78;124.57;0.0;0.0;743.7;-743.7;3.72;2127.3;0.0;143.7;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.2;0.0;21.79;124.14;0.0;0.0;743.11;-743.11;3.72;2388.0;0.0;143.1;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.0;0.0;21.57;123.71;0.0;0.0;144.81;-144.81;0.86;2772.5;0.0;144.8;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.0;0.0;21.32;123.28;0.0;0.0;144.85;-144.85;0.86;3267.5;0.0;144.8;0.18;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;1.0;0.0;22.02;122.85;0.0;0.0;3144.52;-3144.52;15.09;3505.7;0.0;144.5;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;21.94;122.42;0.0;0.0;736.92;-736.92;3.54;3472.1;0.0;136.9;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.2;0.0;21.87;121.99;0.0;0.0;728.39;-728.39;2.84;3451.8;0.0;128.4;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.2;0.0;21.8;121.56;0.0;0.0;718.93;-718.93;2.8;3386.8;0.0;118.9;0.0;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.58;0.0;22.1;121.13;0.0;0.0;1881.81;-1881.81;8.19;3409.4;0.0;138.2;0.0;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;1.0;0.0;22.8;120.69;0.0;0.0;3187.94;-3187.94;13.87;3511.3;0.0;187.9;0.3;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.0;0.42;22.52;138.86;0.0;0.0;1845.65;-1845.65;8.31;3640.4;0.0;592.0;0.02;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.58;0.0;22.8;138.43;0.0;0.0;3106.24;-3106.24;13.98;3649.6;0.0;1377.3;0.3;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.2;0.0;22.7;138.0;0.0;0.0;2399.63;-2399.63;22.2;3770.9;0.0;1799.6;0.2;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.41;0.0;22.8;137.57;0.0;0.0;3060.63;-3060.63;28.31;4048.1;0.0;1816.2;0.3;-0.83;18.5;4.29;1.59;0.0;0.0
