timeslot;time of day;simulationResult_electricalLoad_combined;simulationResult_RESGeneration_combined;simulationResult_PVGeneration_combined;simulationResult_SurplusEnergy_combined;simulationResult_costs_combined
1;00:00;16329.65;0.0;0.0;0.0;-12.25
2;00:30;12615.5;0.0;0.0;0.0;-9.46
3;01:00;20301.6;0.0;0.0;0.0;-37.56
4;01:30;32982.63;0.0;0.0;0.0;-61.02
5;02:00;85337.99;0.0;0.0;0.0;-243.21
6;02:30;99419.16;0.0;0.0;0.0;-283.34
7;03:00;164649.67;0.0;0.0;0.0;-551.58
8;03:30;190102.8;0.0;0.0;0.0;-636.84
9;04:00;105015.17;0.0;0.0;0.0;-299.29
10;04:30;129198.37;0.0;0.0;0.0;-368.22
11;05:00;56404.47;0.0;0.0;0.0;-64.87
12;05:30;65471.89;0.0;0.0;0.0;-75.29
13;06:00;236528.67;0.0;0.0;0.0;-3145.83
14;06:30;236528.94;0.0;0.0;0.0;-3145.83
15;07:00;236528.74;0.0;0.0;0.0;-2187.89
16;07:30;232781.0;0.0;0.0;0.0;-2153.22
17;08:00;210932.04;0.0;0.0;0.0;-896.46
18;08:30;207019.32;0.0;0.0;0.0;-879.83
19;09:00;134754.17;0.0;0.0;0.0;-6.74
20;09:30;133304.02;0.0;0.0;0.0;-6.67
21;10:00;65691.48;0.0;0.0;0.0;131.38
22;10:30;123265.52;0.0;0.0;0.0;246.53
23;11:00;31296.37;0.0;0.0;0.0;129.88
24;11:30;34089.26;0.0;0.0;0.0;141.47
25;12:00;39471.6;0.0;0.0;0.0;140.12
26;12:30;51076.79;0.0;0.0;0.0;181.32
27;13:00;212942.41;0.0;0.0;0.0;-181.0
28;13:30;208772.95;0.0;0.0;0.0;-177.46
29;14:00;159920.85;0.0;0.0;0.0;-135.93
30;14:30;92825.67;0.0;0.0;0.0;-78.9
31;15:00;204131.63;0.0;0.0;0.0;-347.02
32;15:30;203120.05;0.0;0.0;0.0;-345.3
33;16:00;117555.29;0.0;0.0;0.0;-58.78
34;16:30;116983.44;0.0;0.0;0.0;-58.49
35;17:00;70897.03;0.0;0.0;0.0;421.84
36;17:30;55066.96;0.0;0.0;0.0;327.65
37;18:00;105928.42;0.0;0.0;0.0;519.05
38;18:30;55076.3;0.0;0.0;0.0;269.87
39;19:00;52299.76;0.0;0.0;0.0;347.79
40;19:30;45707.51;0.0;0.0;0.0;303.95
41;20:00;104696.99;0.0;0.0;0.0;418.79
42;20:30;102241.44;0.0;0.0;0.0;408.97
43;21:00;95198.3;0.0;0.0;0.0;366.51
44;21:30;109264.33;0.0;0.0;0.0;420.67
45;22:00;61737.4;0.0;0.0;0.0;265.47
46;22:30;56156.08;0.0;0.0;0.0;241.47
47;23:00;187425.78;0.0;0.0;0.0;-337.37
48;23:30;93846.53;0.0;0.0;0.0;-168.92
