timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.2;21.76;0.0;0.0;5851.55;-5851.55;29.26;11525.3;2851.6;0.0;-1.1;10.0;4.24;0.0;0.0
2;00:30;0.2;21.79;0.0;0.0;5685.1;-5685.1;28.43;9944.0;2685.1;0.0;-1.1;10.0;4.24;0.0;0.0
3;01:00;0.2;21.83;0.0;0.0;5373.17;-5373.17;31.97;8933.3;2373.2;0.0;-1.1;11.9;4.24;0.0;0.0
4;01:30;0.2;21.88;0.0;0.0;4905.72;-4905.72;29.19;8532.7;1905.7;0.0;-1.1;11.9;4.24;0.0;0.0
5;02:00;0.2;21.93;0.0;0.0;4634.52;-4634.52;22.25;8440.9;1634.5;0.0;-1.15;9.6;4.23;0.0;0.0
6;02:30;0.2;21.97;0.0;0.0;4573.09;-4573.09;21.95;8679.4;1573.1;0.0;-1.25;9.6;4.22;0.0;0.0
7;03:00;0.85;22.5;0.0;0.0;14284.66;-14284.66;55.71;9602.1;1503.8;0.0;-1.28;7.8;4.21;0.0;0.0
8;03:30;0.85;23.0;0.0;0.0;14206.9;-14206.9;55.41;11256.2;1426.0;0.5;-1.23;7.8;4.22;0.0;0.0
9;04:00;0.44;23.18;0.0;0.0;8118.16;-8118.16;35.31;12779.0;1584.9;0.68;-1.18;8.7;4.23;0.0;0.0
10;04:30;0.44;23.34;0.0;0.0;8530.08;-8530.08;37.11;14161.4;1996.9;0.84;-1.13;8.7;4.24;0.0;0.0
11;05:00;0.2;23.29;0.0;0.0;5270.97;-5270.97;23.72;16059.8;2271.0;0.79;-1.05;9.0;4.25;0.0;0.0
12;05:30;0.0;23.07;0.0;0.0;2397.78;-2397.78;10.79;18510.0;2397.8;0.57;-0.95;9.0;4.27;0.0;0.0
13;06:00;0.0;22.83;0.0;0.0;3163.61;-3163.61;29.26;19582.1;3163.6;0.33;-0.88;18.5;4.28;0.0;0.0
14;06:30;0.0;22.6;0.0;0.0;4612.52;-4612.52;42.67;19181.1;4612.5;0.1;-0.83;18.5;4.29;0.0;0.0
15;07:00;0.0;22.36;0.0;0.0;5352.73;-5352.73;87.25;19869.7;5352.7;0.0;-0.8;32.6;4.3;0.0;0.0
16;07:30;0.0;22.1;0.0;0.0;5335.35;-5335.35;86.97;21723.0;5335.4;0.0;-0.8;32.6;4.3;0.0;0.0
17;08:00;0.0;21.82;0.0;0.0;4829.68;-4829.68;68.58;23265.0;4829.7;0.0;-0.78;28.4;4.3;0.0;0.0
