timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;21.52;133.42;0.0;0.0;720.04;-720.04;3.6;2921.4;0.0;120.0;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.0;21.29;132.99;0.0;0.0;132.65;-132.65;0.66;3045.8;0.0;132.6;0.21;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;1.0;0.0;22.02;132.56;0.0;0.0;3132.0;-3132.0;18.64;3062.6;0.0;132.0;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.2;0.0;21.98;132.13;0.0;0.0;715.3;-715.3;4.26;2996.6;0.0;115.3;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.2;0.0;21.94;131.7;0.0;0.0;713.29;-713.29;3.42;3112.4;0.0;113.3;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.28;0.0;21.94;131.27;0.0;0.0;960.3;-960.3;4.61;3465.0;0.0;127.6;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.6;0.0;22.25;130.84;0.0;0.0;1949.95;-1949.95;7.6;3474.2;0.0;136.6;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.57;0.0;22.57;130.41;0.0;0.0;1849.75;-1849.75;7.21;3038.1;0.0;141.5;0.07;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.48;0.0;22.8;129.98;0.0;0.0;1971.24;-1971.24;8.57;2995.0;0.0;545.6;0.3;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.27;0.0;22.8;129.55;0.0;0.0;2190.91;-2190.91;9.53;3431.9;0.0;1370.4;0.3;-1.13;8.7;4.24;1.54;0.0;0.0
