timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.2;21.79;0.0;0.0;6251.82;-6251.82;31.26;9332.0;3251.8;0.0;-1.1;10.0;4.24;0.0;0.0
2;00:30;0.2;21.83;0.0;0.0;5085.5;-5085.5;25.43;8537.8;2085.5;0.0;-1.1;10.0;4.24;0.0;0.0
3;01:00;0.2;21.88;0.0;0.0;4530.8;-4530.8;26.96;8863.3;1530.8;0.0;-1.1;11.9;4.24;0.0;0.0
4;01:30;0.2;21.9;0.0;0.0;4629.93;-4629.93;27.55;10385.7;1629.9;0.0;-1.1;11.9;4.24;0.0;0.0
5;02:00;0.2;21.91;0.0;0.0;4585.06;-4585.06;22.01;11588.5;1585.1;0.0;-1.15;9.6;4.23;0.0;0.0
6;02:30;0.2;21.91;0.0;0.0;4393.13;-4393.13;21.09;12449.8;1386.3;0.0;-1.25;9.6;4.22;0.0;0.0
7;03:00;1.0;22.5;0.0;0.0;16511.17;-16511.17;64.39;13340.3;1511.2;0.0;-1.28;7.8;4.21;0.0;0.0
8;03:30;0.23;22.5;0.0;0.0;5415.56;-5415.56;21.12;14261.9;1982.1;0.0;-1.23;7.8;4.22;0.0;0.0
9;04:00;0.48;22.68;0.0;0.0;9539.03;-9539.03;41.49;15302.0;2333.7;0.18;-1.18;8.7;4.23;0.0;0.0
10;04:30;0.5;22.86;0.0;0.0;10030.58;-10030.58;43.63;16468.7;2557.7;0.36;-1.13;8.7;4.24;0.0;0.0
11;05:00;0.0;22.65;0.0;0.0;3358.74;-3358.74;15.11;17746.3;3358.7;0.15;-1.05;9.0;4.25;0.0;0.0
12;05:30;0.0;22.42;0.0;0.0;4776.62;-4776.62;21.49;19142.2;4776.6;0.0;-0.95;9.0;4.27;0.0;0.0
13;06:00;0.0;22.15;0.0;0.0;5206.02;-5206.02;48.16;22110.5;5206.0;0.0;-0.88;18.5;4.28;0.0;0.0
14;06:30;0.0;21.83;0.0;0.0;4578.79;-4578.79;42.35;26759.5;4578.8;0.0;-0.83;18.5;4.29;0.0;0.0
15;07:00;0.48;21.83;0.0;0.0;11213.98;-11213.98;182.79;30583.7;4042.5;0.0;-0.8;32.6;4.3;0.0;0.0
16;07:30;0.0;21.43;0.0;0.0;3603.41;-3603.41;58.74;33525.9;3603.4;0.07;-0.8;32.6;4.3;0.0;0.0
17;08:00;0.0;21.04;0.0;0.0;3635.37;-3635.37;51.62;32528.6;3635.4;0.46;-0.78;28.4;4.3;0.0;0.0
18;08:30;0.43;21.04;0.0;0.0;10562.78;-10562.78;149.99;27319.9;4170.9;0.46;-0.73;28.4;4.31;0.0;0.0
19;09:00;0.38;21.04;0.0;0.0;10286.42;-10286.42;137.32;24456.7;4570.9;0.46;-0.68;26.7;4.32;0.0;0.0
20;09:30;0.37;21.04;0.0;0.0;10447.4;-10447.4;139.47;24100.5;4826.1;0.46;-0.63;26.7;4.33;0.0;0.0
21;10:00;0.36;21.04;0.0;0.0;9996.2;-9996.2;134.45;23488.0;4527.8;0.46;-0.58;26.9;4.34;0.0;0.0
22;10:30;0.35;21.04;0.0;0.0;8890.95;-8890.95;119.58;22601.5;3637.9;0.46;-0.53;26.9;4.35;0.0;0.0
23;11:00;0.33;21.04;0.0;0.0;8200.17;-8200.17;123.41;21490.7;3208.1;0.46;-0.5;30.1;4.35;0.0;0.0
24;11:30;0.31;21.04;0.0;0.0;7951.72;-7951.72;119.67;20139.9;3270.1;0.46;-0.5;30.1;4.35;0.0;0.0
25;12:00;0.3;21.04;0.0;0.0;8717.96;-8717.96;128.59;19593.7;4157.4;0.46;-0.52;29.5;4.35;0.0;0.0
26;12:30;0.31;21.04;0.0;0.0;10569.11;-10569.11;155.89;19907.4;5926.7;0.46;-0.57;29.5;4.34;0.0;0.0
27;13:00;0.32;21.04;0.0;0.0;10968.01;-10968.01;155.75;20486.5;6177.3;0.46;-0.65;28.4;4.32;0.0;0.0
28;13:30;0.33;21.04;0.0;0.0;9815.55;-9815.55;139.38;21349.3;4804.4;0.46;-0.75;28.4;4.31;0.0;0.0
29;14:00;0.33;21.04;0.0;0.0;9800.08;-9800.08;135.24;20961.9;4858.3;0.46;-0.85;27.6;4.29;0.0;0.0
30;14:30;0.3;21.04;0.0;0.0;10996.14;-10996.14;151.75;19238.1;6437.3;0.46;-0.95;27.6;4.27;0.0;0.0
31;15:00;0.29;21.04;0.0;0.0;11564.14;-11564.14;161.32;18637.3;7140.9;0.46;-0.98;27.9;4.26;0.0;0.0
