timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;21.56;133.42;0.0;0.0;733.35;-733.35;3.67;2381.1;0.0;133.4;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.0;21.36;132.99;0.0;0.0;133.53;-133.53;0.67;2568.0;0.0;133.5;0.14;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;1.0;0.0;22.13;132.56;0.0;0.0;3133.84;-3133.84;18.65;2713.2;0.0;133.8;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.2;0.0;22.1;132.13;0.0;0.0;733.22;-733.22;4.36;2848.2;0.0;133.2;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.2;0.0;22.07;131.7;0.0;0.0;733.66;-733.66;3.52;2954.3;0.0;133.7;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;22.02;131.27;0.0;0.0;733.09;-733.09;3.52;3101.5;0.0;133.1;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.53;0.0;22.27;130.84;0.0;0.0;1710.29;-1710.29;6.67;3265.3;0.0;132.7;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.53;0.0;22.53;130.41;0.0;0.0;1710.82;-1710.82;6.67;3302.5;0.0;133.3;0.03;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.51;0.0;22.76;129.98;0.0;0.0;1659.35;-1659.35;7.22;3376.0;0.0;143.6;0.26;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.51;0.0;22.98;129.55;0.0;0.0;1697.78;-1697.78;7.39;3452.8;0.0;165.7;0.48;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.28;0.0;22.98;129.12;0.0;0.0;1456.64;-1456.64;6.55;3469.4;0.0;629.9;0.48;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.28;0.0;22.98;128.69;0.0;0.0;2399.63;-2399.63;10.8;3515.9;0.0;1565.4;0.48;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.54;0.0;23.22;125.17;0.0;0.0;3570.93;-3570.93;33.03;3841.5;322.3;1940.8;0.72;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.59;0.0;23.46;124.74;0.0;0.0;3408.18;-3408.18;31.53;4497.9;0.0;1627.0;0.96;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;23.09;85.34;0.0;0.0;1256.18;-1256.18;20.48;4746.9;4073.9;1256.2;0.59;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.0;22.73;82.88;0.0;0.0;755.35;-755.35;12.31;4659.1;211.6;755.3;0.23;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;0.0;0.0;22.36;81.94;0.0;0.0;514.11;-514.11;7.3;4760.5;53.6;514.1;0.0;-0.78;28.4;4.3;1.6;0.0;0.0
18;08:30;0.0;0.0;21.96;81.51;0.0;0.0;556.78;-556.78;7.91;5236.3;0.0;556.8;0.0;-0.73;28.4;4.31;1.61;0.0;0.0
19;09:00;0.42;0.0;21.96;81.08;0.0;0.0;1976.2;-1976.2;26.38;5339.7;0.0;729.3;0.0;-0.68;26.7;4.32;1.62;0.0;0.0
20;09:30;0.4;0.0;21.96;80.65;0.0;0.0;2210.08;-2210.08;29.5;5130.9;0.0;1014.0;0.0;-0.63;26.7;4.33;1.63;0.0;0.0
21;10:00;0.0;1.0;21.58;125.46;0.0;0.0;4054.74;-4054.74;54.54;4877.7;179.8;1054.7;0.0;-0.58;26.9;4.34;1.64;0.0;0.0
