timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;1.0;0.0;0.0;22.57;124.57;40.0;24.0;0.0;0.0;3129.43;-3129.43;15.65;1963.5;0.0;129.4;1.0;0.0;0.07;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;1.0;0.0;22.4;168.4;40.0;24.0;0.0;0.0;3122.5;-3122.5;15.61;2219.3;0.0;122.5;1.0;0.0;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.0;0.72;0.0;22.21;200.04;40.0;24.0;0.0;0.0;2297.77;-2297.77;13.67;2409.1;0.0;123.7;1.0;0.0;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.0;0.2;0.0;22.01;208.46;40.0;24.0;0.0;0.0;733.47;-733.47;4.36;2528.6;0.0;133.5;1.0;0.0;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;1.0;0.0;0.0;22.77;208.03;40.0;24.0;0.0;0.0;3134.99;-3134.99;15.05;2696.3;0.0;135.0;1.0;0.0;0.27;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.2;0.0;0.0;22.74;207.6;40.0;24.0;0.0;0.0;727.63;-727.63;3.49;2915.6;0.0;127.6;1.0;0.0;0.24;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.2;0.0;4698.67;22.7;207.17;43.48;26.09;0.0;0.0;5416.87;-5416.87;21.13;2970.4;0.0;118.2;1.0;0.0;0.2;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.2;0.0;0.0;22.68;206.74;43.48;26.09;0.0;0.0;706.55;-706.55;2.76;2849.2;0.0;106.6;1.0;0.0;0.18;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.2;0.0;0.0;22.64;206.31;43.48;26.09;0.0;0.0;702.9;-702.9;3.06;2997.0;0.0;102.9;1.0;0.0;0.14;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.0;1.0;0.0;22.37;250.0;43.48;26.09;0.0;0.0;3107.81;-3107.81;13.52;3432.4;0.0;107.8;1.0;0.0;0.0;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.71;0.0;0.0;22.8;249.57;43.48;26.09;0.0;0.0;2261.8;-2261.8;10.18;3469.9;0.0;117.1;1.0;0.0;0.3;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.24;0.0;0.0;22.8;249.14;43.48;26.09;0.0;0.0;863.69;-863.69;3.89;3082.1;0.0;131.1;1.0;0.0;0.3;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.2;0.0;0.0;22.75;248.71;43.48;26.09;0.0;0.0;1076.95;-1076.95;9.96;3120.3;0.0;476.9;1.0;0.0;0.25;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.0;0.0;0.0;22.47;248.28;43.48;26.09;0.0;0.0;1177.57;-1177.57;10.89;3614.0;0.0;1177.6;1.0;0.0;0.0;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;0.0;22.14;245.93;43.48;26.09;0.0;0.0;1498.06;-1498.06;24.42;4270.0;200.7;1498.1;1.0;0.0;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.0;0.0;21.75;145.1;43.48;26.09;0.0;0.0;1412.2;-1412.2;23.02;5099.5;10494.0;1412.2;0.5;0.0;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;0.86;0.0;0.0;22.19;144.67;42.95;25.77;0.0;0.0;3735.6;-3735.6;53.05;5329.9;0.0;1148.4;0.0;1145454.5454545456;0.0;-0.78;28.4;4.3;1.6;0.0;0.0
18;08:30;1.0;0.0;0.0;22.8;144.24;42.42;25.45;0.0;0.0;3694.4;-3694.4;52.46;4920.1;0.0;694.4;0.0;1145454.5454545456;0.3;-0.73;28.4;4.31;1.61;0.0;0.0
19;09:00;0.39;0.0;0.0;22.8;143.81;41.89;25.14;0.0;0.0;1615.94;-1615.94;21.57;4981.3;0.0;451.9;0.0;1145454.5454545456;0.3;-0.68;26.7;4.32;1.62;0.0;0.0
20;09:30;0.2;0.0;0.0;22.57;143.38;41.36;24.82;0.0;0.0;1035.62;-1035.62;13.83;5546.3;0.0;435.6;0.0;1145454.5454545456;0.07;-0.63;26.7;4.33;1.63;0.0;0.0
21;10:00;0.2;0.0;0.0;22.33;142.95;40.83;24.5;0.0;0.0;1191.63;-1191.63;16.03;5734.3;0.0;591.6;0.0;1145454.5454545456;0.0;-0.58;26.9;4.34;1.64;0.0;0.0
22;10:30;0.2;0.0;0.0;22.1;142.52;40.3;24.18;0.0;0.0;1531.84;-1531.84;20.6;5519.6;0.0;931.8;0.0;1145454.5454545456;0.0;-0.53;26.9;4.35;1.65;0.0;0.0
23;11:00;1.0;0.0;0.0;22.7;142.09;39.77;23.86;0.0;0.0;3965.31;-3965.31;59.68;5232.9;0.0;965.3;0.0;1145454.5454545456;0.2;-0.5;30.1;4.35;1.65;0.0;0.0
24;11:30;0.2;0.0;0.0;22.52;99.66;39.24;23.55;0.0;0.0;1270.89;-1270.89;19.13;4869.3;4389.9;670.9;0.0;1145454.5454545456;0.02;-0.5;30.1;4.35;1.65;0.0;0.0
25;12:00;0.2;0.0;0.0;22.38;98.51;38.71;23.23;0.0;0.0;1511.36;-1511.36;22.29;4388.6;75.1;911.4;0.0;1145454.5454545456;0.0;-0.52;29.5;4.35;1.65;0.0;0.0
26;12:30;0.2;0.0;0.0;22.29;95.06;38.18;22.91;0.0;0.0;2323.63;-2323.63;34.27;3782.5;315.9;1723.6;0.0;1145454.5454545456;0.0;-0.57;29.5;4.34;1.64;0.0;0.0
27;13:00;0.2;0.0;0.0;22.21;94.63;37.65;22.59;0.0;0.0;2326.39;-2326.39;33.03;3563.3;0.0;1726.4;0.0;1145454.5454545456;0.0;-0.65;28.4;4.32;1.62;0.0;0.0
28;13:30;0.89;0.0;0.0;22.8;94.19;37.12;22.27;0.0;0.0;3542.22;-3542.22;50.3;3757.8;0.0;863.8;0.0;1145454.5454545456;0.3;-0.75;28.4;4.31;1.61;0.0;0.0
29;14:00;0.2;0.0;0.0;22.69;93.76;36.59;21.95;0.0;0.0;1136.86;-1136.86;15.69;3923.0;0.0;536.9;0.0;1145454.5454545456;0.19;-0.85;27.6;4.29;1.59;0.0;0.0
30;14:30;0.2;0.0;0.0;22.58;93.33;36.06;21.64;0.0;0.0;1382.45;-1382.45;19.08;4056.7;0.0;782.5;0.0;1145454.5454545456;0.08;-0.95;27.6;4.27;1.57;0.0;0.0
31;15:00;0.58;0.0;0.0;22.8;92.9;35.53;21.32;0.0;0.0;2632.82;-2632.82;36.73;4389.7;0.0;904.5;0.0;1145454.5454545456;0.3;-0.98;27.9;4.26;1.56;0.0;0.0
32;15:30;0.28;0.0;0.0;22.7;92.47;35.0;21.0;0.0;0.0;1744.45;-1744.45;24.34;4935.8;0.0;894.5;0.0;1145454.5454545456;0.2;-0.93;27.9;4.27;1.57;0.0;0.0
33;16:00;0.0;0.0;0.0;22.29;92.04;35.0;21.0;0.0;0.0;731.08;-731.08;10.42;5216.4;0.0;731.1;0.3333333333333333;0.0;0.0;-0.95;28.5;4.27;1.57;0.0;0.0
34;16:30;0.0;0.0;0.0;21.89;91.61;35.0;21.0;0.0;0.0;403.54;-403.54;5.75;5213.0;0.0;403.5;1.0;0.0;0.0;-1.05;28.5;4.25;1.55;0.0;0.0
35;17:00;0.0;0.0;0.0;21.52;91.18;35.0;21.0;0.0;0.0;467.89;-467.89;7.46;4848.9;0.0;467.9;1.0;0.0;0.0;-1.15;31.9;4.23;1.53;0.0;0.0
36;17:30;0.0;0.0;0.0;21.2;90.75;35.0;21.0;0.0;0.0;951.15;-951.15;15.17;4099.0;0.0;951.2;1.0;0.0;0.3;-1.25;31.9;4.22;1.52;0.0;0.0
37;18:00;1.0;0.0;0.0;21.88;90.32;35.0;21.0;0.0;0.0;4053.73;-4053.73;63.24;3719.5;0.0;1053.7;1.0;0.0;0.0;-1.32;31.2;4.2;1.5;0.0;0.0
38;18:30;0.24;0.0;0.0;21.81;89.89;35.0;21.0;0.0;0.0;1458.86;-1458.86;22.76;3736.0;0.0;749.4;1.0;0.0;0.0;-1.37;31.2;4.19;1.49;0.0;0.0
39;19:00;0.0;0.0;0.0;21.52;89.46;35.0;21.0;0.0;0.0;583.18;-583.18;9.3;3856.3;0.0;583.2;1.0;0.0;0.0;-1.38;31.9;4.19;1.49;0.0;0.0
40;19:30;0.0;0.0;0.0;21.2;86.01;35.0;21.0;0.0;0.0;564.7;-564.7;9.01;4087.6;315.9;564.7;1.0;0.0;0.3;-1.33;31.9;4.2;1.5;0.0;0.0
41;20:00;0.35;0.0;0.0;21.24;85.58;35.0;21.0;0.0;0.0;1657.35;-1657.35;23.62;3816.6;0.0;610.1;1.0;0.0;0.26;-1.32;28.5;4.2;1.5;0.0;0.0
42;20:30;0.2;0.0;2350.0;21.2;84.11;36.74;22.05;0.0;0.0;3673.64;-3673.64;52.35;3008.9;108.2;723.6;1.0;0.0;0.3;-1.37;28.5;4.19;1.49;0.0;0.0
43;21:00;0.29;0.0;2350.0;21.26;83.68;38.49;23.09;0.0;0.0;3997.21;-3997.21;50.16;2823.5;0.0;762.8;1.0;0.0;0.24;-1.4;25.1;4.19;1.49;0.0;0.0
