timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;4700.0;21.57;132.49;43.49;26.09;0.0;0.0;5432.2;-5432.2;-4.07;2330.6;0.0;132.2;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;0.0;0.0;21.35;132.06;43.49;26.09;0.0;0.0;127.54;-127.54;-0.1;2787.4;0.0;127.5;1.0;0.0;0.15;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;1.0;0.0;0.0;22.05;131.63;43.49;26.09;0.0;0.0;3132.89;-3132.89;-5.8;3071.5;0.0;132.9;1.0;0.0;0.0;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.2;0.0;0.0;21.99;131.2;43.49;26.09;0.0;0.0;743.23;-743.23;-1.37;3145.2;0.0;143.2;1.0;0.0;0.0;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.48;0.0;0.0;22.19;130.77;43.49;26.09;0.0;0.0;1583.25;-1583.25;-4.51;3166.9;0.0;144.9;1.0;0.0;0.0;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.54;0.0;0.0;22.44;130.34;43.49;26.09;0.0;0.0;1737.98;-1737.98;-4.95;3022.6;0.0;131.0;1.0;0.0;0.0;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.32;0.0;0.0;22.49;129.91;43.49;26.09;0.0;0.0;1216.06;-1216.06;-4.07;3130.9;0.0;264.0;1.0;0.0;0.0;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.29;0.0;0.0;22.49;129.48;43.49;26.09;0.0;0.0;1426.32;-1426.32;-4.78;3395.9;0.0;545.2;1.0;0.0;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.34;0.0;0.0;22.49;129.05;43.49;26.09;0.0;0.0;1791.73;-1791.73;-5.11;3919.7;0.0;763.5;1.0;0.0;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.43;0.0;0.0;22.49;128.62;43.49;26.09;0.0;0.0;2217.02;-2217.02;-6.32;4859.8;0.0;926.9;1.0;0.0;0.0;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.49;0.0;0.0;22.49;128.19;43.49;26.09;0.0;0.0;2357.88;-2357.88;-2.71;5425.6;0.0;901.6;1.0;0.0;0.0;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.52;0.0;0.0;22.49;127.76;43.49;26.09;0.0;0.0;2208.21;-2208.21;-2.54;5708.6;0.0;661.8;1.0;0.0;0.0;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.66;0.0;2048.69;22.6;127.32;45.01;27.0;0.0;0.0;4519.27;-4519.27;-60.11;5701.0;0.0;502.5;1.0;0.0;0.1;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.6;0.0;1917.06;22.7;126.89;46.43;27.86;0.0;0.0;4144.47;-4144.47;-55.12;5135.5;0.0;421.1;1.0;0.0;0.2;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.49;0.0;0.0;22.7;85.96;46.43;27.86;0.0;0.0;1806.75;-1806.75;-16.71;5245.8;4233.8;321.8;1.0;0.0;0.2;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.57;0.0;0.0;22.7;85.53;46.43;27.86;0.0;0.0;1918.48;-1918.48;-17.75;5967.5;0.0;218.1;1.0;0.0;0.2;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.58;0.0;0.0;22.7;85.1;46.43;27.86;0.0;0.0;2069.91;-2069.91;-8.8;6006.9;0.0;330.1;1.0;0.0;0.2;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.76;0.0;0.0;22.89;81.38;46.43;27.86;0.0;0.0;2957.67;-2957.67;-12.57;5295.3;343.5;674.2;1.0;0.0;0.39;-5.84;-8.5;3.39;1.0;0.0;0.0
