timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;4700.0;21.6;133.42;43.49;26.09;0.0;0.0;5429.43;-5429.43;27.15;1963.5;0.0;129.4;1.0;0.0;0.0;-1.1;10.0;4.24;1.54
2;00:30;0.0;0.0;0.0;21.42;132.99;43.49;26.09;0.0;0.0;122.5;-122.5;0.61;2219.3;0.0;122.5;1.0;0.0;0.08;-1.1;10.0;4.24;1.54
3;01:00;0.0;0.0;0.0;21.24;132.56;43.49;26.09;0.0;0.0;123.67;-123.67;0.74;2409.1;0.0;123.7;1.0;0.0;0.26;-1.1;11.9;4.24;1.54
4;01:30;1.0;0.0;0.0;22.01;132.13;43.49;26.09;0.0;0.0;3133.47;-3133.47;18.64;2528.6;0.0;133.5;1.0;0.0;0.0;-1.1;11.9;4.24;1.54
5;02:00;0.2;0.0;0.0;22.0;131.7;43.49;26.09;0.0;0.0;734.99;-734.99;3.53;2696.3;0.0;135.0;1.0;0.0;0.0;-1.15;9.6;4.23;1.53
6;02:30;0.2;0.0;0.0;21.96;131.27;43.49;26.09;0.0;0.0;727.63;-727.63;3.49;2915.6;0.0;127.6;1.0;0.0;0.0;-1.25;9.6;4.22;1.52
7;03:00;0.2;0.0;0.0;21.93;130.84;43.49;26.09;0.0;0.0;718.2;-718.2;2.8;2970.4;0.0;118.2;1.0;0.0;0.0;-1.28;7.8;4.21;1.51
8;03:30;0.23;0.0;0.0;21.93;130.41;43.49;26.09;0.0;0.0;792.49;-792.49;3.09;2849.2;0.0;106.6;1.0;0.0;0.0;-1.23;7.8;4.22;1.52
9;04:00;0.24;0.0;0.0;21.93;129.98;43.49;26.09;0.0;0.0;822.34;-822.34;3.58;2997.0;0.0;102.9;1.0;0.0;0.0;-1.18;8.7;4.23;1.53
10;04:30;0.27;0.0;0.0;21.93;129.55;43.49;26.09;0.0;0.0;928.47;-928.47;4.04;3432.4;0.0;107.8;1.0;0.0;0.0;-1.13;8.7;4.24;1.54
11;05:00;0.28;0.0;0.0;21.93;129.12;43.49;26.09;0.0;0.0;944.01;-944.01;4.25;3469.9;0.0;117.1;1.0;0.0;0.0;-1.05;9.0;4.25;1.55
12;05:30;0.24;0.0;0.0;21.93;128.69;43.49;26.09;0.0;0.0;863.65;-863.65;3.89;3082.1;0.0;131.1;1.0;0.0;0.0;-0.95;9.0;4.27;1.57
13;06:00;0.25;0.0;0.0;21.93;128.25;43.49;26.09;0.0;0.0;1216.1;-1216.1;11.25;3120.3;0.0;476.9;1.0;0.0;0.0;-0.88;18.5;4.28;1.58
14;06:30;0.28;0.0;0.0;21.93;127.82;43.49;26.09;0.0;0.0;2030.22;-2030.22;18.78;3614.0;0.0;1177.6;1.0;0.0;0.0;-0.83;18.5;4.29;1.59
15;07:00;0.33;0.0;0.0;21.93;125.47;43.49;26.09;0.0;0.0;2502.48;-2502.48;40.79;4270.0;200.7;1498.1;1.0;0.0;0.0;-0.8;32.6;4.3;1.6
16;07:30;0.0;1.0;0.0;21.53;70.45;43.49;26.09;0.0;0.0;4412.2;-4412.2;71.92;5099.5;10494.0;1412.2;1.0;0.0;0.0;-0.8;32.6;4.3;1.6
17;08:00;1.0;0.0;0.0;22.11;70.02;42.96;25.77;0.0;0.0;4148.4;-4148.4;58.91;5329.9;0.0;1148.4;0.0;1145454.5454545456;0.0;-0.78;28.4;4.3;1.6
18;08:30;0.0;1.0;0.0;21.73;115.78;42.43;25.46;0.0;0.0;3694.4;-3694.4;52.46;4920.1;0.0;694.4;0.0;1145454.5454545456;0.0;-0.73;28.4;4.31;1.61
19;09:00;0.0;0.0;0.0;21.34;115.35;41.89;25.14;0.0;0.0;451.94;-451.94;6.03;4981.3;0.0;451.9;0.0;1145454.5454545456;0.16;-0.68;26.7;4.32;1.62
20;09:30;1.0;0.0;0.0;21.91;114.92;41.36;24.82;0.0;0.0;3435.62;-3435.62;45.87;5546.3;0.0;435.6;0.0;1145454.5454545456;0.0;-0.63;26.7;4.33;1.63
21;10:00;0.44;0.0;0.0;21.91;114.49;40.83;24.5;0.0;0.0;1924.39;-1924.39;25.88;5734.3;0.0;591.6;0.0;1145454.5454545456;0.0;-0.58;26.9;4.34;1.64
22;10:30;0.43;0.0;0.0;21.91;114.06;40.3;24.18;0.0;0.0;2212.42;-2212.42;29.76;5519.6;0.0;931.8;0.0;1145454.5454545456;0.0;-0.53;26.9;4.35;1.65
23;11:00;0.4;0.0;0.0;21.91;113.63;39.77;23.86;0.0;0.0;2178.61;-2178.61;32.79;5232.9;0.0;965.3;0.0;1145454.5454545456;0.0;-0.5;30.1;4.35;1.65
24;11:30;0.0;1.0;0.0;21.53;118.56;39.24;23.55;0.0;0.0;3670.89;-3670.89;55.25;4869.3;4389.9;670.9;0.0;1145454.5454545456;0.0;-0.5;30.1;4.35;1.65
25;12:00;1.0;0.0;0.0;22.19;117.41;38.71;23.23;0.0;0.0;3911.36;-3911.36;57.69;4388.6;75.1;911.4;0.0;1145454.5454545456;0.0;-0.52;29.5;4.35;1.65
26;12:30;0.2;0.0;0.0;22.1;113.96;38.18;22.91;0.0;0.0;2323.63;-2323.63;34.27;3782.5;315.9;1723.6;0.0;1145454.5454545456;0.0;-0.57;29.5;4.34;1.64
27;13:00;0.2;0.0;0.0;22.02;113.53;37.65;22.59;0.0;0.0;2326.39;-2326.39;33.03;3563.3;0.0;1726.4;0.0;1145454.5454545456;0.0;-0.65;28.4;4.32;1.62
28;13:30;0.2;0.0;0.0;21.93;113.1;37.12;22.27;0.0;0.0;1463.82;-1463.82;20.79;3757.8;0.0;863.8;0.0;1145454.5454545456;0.0;-0.75;28.4;4.31;1.61
29;14:00;0.31;0.0;0.0;21.93;112.66;36.59;21.96;0.0;0.0;1462.37;-1462.37;20.18;3923.0;0.0;536.9;0.0;1145454.5454545456;0.0;-0.85;27.6;4.29;1.59
30;14:30;0.32;0.0;0.0;21.93;112.23;36.06;21.64;0.0;0.0;1743.19;-1743.19;24.06;4056.7;0.0;782.5;0.0;1145454.5454545456;0.0;-0.95;27.6;4.27;1.57
31;15:00;0.35;0.0;0.0;21.93;111.8;35.53;21.32;0.0;0.0;1944.47;-1944.47;27.13;4389.7;0.0;904.5;0.0;1145454.5454545456;0.0;-0.98;27.9;4.26;1.56
32;15:30;0.39;0.0;0.0;21.93;111.37;35.0;21.0;0.0;0.0;2060.1;-2060.1;28.74;4935.8;0.0;894.5;0.0;1145454.5454545456;0.0;-0.93;27.9;4.27;1.57
33;16:00;0.41;0.0;4700.0;21.93;110.94;38.49;23.09;0.0;0.0;6663.45;-6663.45;94.95;5216.4;0.0;731.1;1.0;0.0;0.0;-0.95;28.5;4.27;1.57
34;16:30;0.41;0.0;4700.0;21.93;110.51;41.97;25.18;0.0;0.0;6340.35;-6340.35;90.35;5213.0;0.0;403.5;1.0;0.0;0.0;-1.05;28.5;4.25;1.55
35;17:00;0.39;0.0;0.0;21.93;110.08;41.97;25.18;0.0;0.0;1623.93;-1623.93;25.9;4848.9;0.0;467.9;1.0;0.0;0.0;-1.15;31.9;4.23;1.53
