timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;4700.0;21.52;133.42;43.49;26.09;0.0;0.0;5418.64;-5418.64;27.09;2927.4;0.0;118.6;1.0;0.0;0.0;-1.1;10.0;4.24;1.54
2;00:30;0.0;0.0;0.0;21.29;132.99;43.49;26.09;0.0;0.0;134.51;-134.51;0.67;3038.6;0.0;134.5;1.0;0.0;0.21;-1.1;10.0;4.24;1.54
3;01:00;1.0;0.0;0.0;22.02;132.56;43.49;26.09;0.0;0.0;3132.04;-3132.04;18.64;3089.7;0.0;132.0;1.0;0.0;0.0;-1.1;11.9;4.24;1.54
4;01:30;0.2;0.0;0.0;21.98;132.13;43.49;26.09;0.0;0.0;714.86;-714.86;4.25;2988.7;0.0;114.9;1.0;0.0;0.0;-1.1;11.9;4.24;1.54
5;02:00;0.2;0.0;0.0;21.94;131.7;43.49;26.09;0.0;0.0;713.31;-713.31;3.42;3091.5;0.0;113.3;1.0;0.0;0.0;-1.15;9.6;4.23;1.53
6;02:30;0.28;0.0;0.0;21.94;131.27;43.49;26.09;0.0;0.0;970.21;-970.21;4.66;3501.7;0.0;128.8;1.0;0.0;0.0;-1.25;9.6;4.22;1.52
7;03:00;0.28;0.0;0.0;21.94;130.84;43.49;26.09;0.0;0.0;966.07;-966.07;3.77;3440.8;0.0;138.2;1.0;0.0;0.0;-1.28;7.8;4.21;1.51
8;03:30;0.24;0.0;0.0;21.94;130.41;43.49;26.09;0.0;0.0;863.47;-863.47;3.37;2997.0;0.0;142.5;1.0;0.0;0.0;-1.23;7.8;4.22;1.52
9;04:00;0.24;0.0;0.0;21.94;129.98;43.49;26.09;0.0;0.0;1265.47;-1265.47;5.5;3006.0;0.0;543.9;1.0;0.0;0.0;-1.18;8.7;4.23;1.53
10;04:30;0.27;0.0;0.0;21.94;129.55;43.49;26.09;0.0;0.0;2199.09;-2199.09;9.57;3441.1;0.0;1376.4;1.0;0.0;0.0;-1.13;8.7;4.24;1.54
