timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;21.6;133.42;0.0;0.0;729.57;-729.57;3.65;0.0;0.0;0.0;0.0;-1.1;10.0;4.24;1.54
2;00:30;0.0;0.0;21.42;132.99;0.0;0.0;122.91;-122.91;0.61;0.0;0.0;0.0;0.08;-1.1;10.0;4.24;1.54
3;01:00;0.0;0.0;21.24;132.56;0.0;0.0;124.91;-124.91;0.74;0.0;0.0;0.0;0.26;-1.1;11.9;4.24;1.54
4;01:30;1.0;0.0;22.02;132.13;0.0;0.0;3133.17;-3133.17;18.64;0.0;0.0;0.0;0.0;-1.1;11.9;4.24;1.54
5;02:00;0.2;0.0;22.0;131.7;0.0;0.0;735.75;-735.75;3.53;0.0;0.0;0.0;0.0;-1.15;9.6;4.23;1.53
6;02:30;0.2;0.0;21.97;131.27;0.0;0.0;727.9;-727.9;3.49;0.0;0.0;0.0;0.0;-1.25;9.6;4.22;1.52
7;03:00;0.2;0.0;21.94;130.84;0.0;0.0;717.61;-717.61;2.8;0.0;0.0;0.0;0.0;-1.28;7.8;4.21;1.51
8;03:30;0.23;0.0;21.94;130.41;0.0;0.0;788.85;-788.85;3.08;0.0;0.0;0.0;0.0;-1.23;7.8;4.22;1.52
9;04:00;0.24;0.0;21.94;129.98;0.0;0.0;811.77;-811.77;3.53;0.0;0.0;0.0;0.0;-1.18;8.7;4.23;1.53
10;04:30;0.27;0.0;21.94;129.55;0.0;0.0;917.46;-917.46;3.99;0.0;0.0;0.0;0.0;-1.13;8.7;4.24;1.54
11;05:00;0.27;0.0;21.94;129.12;0.0;0.0;935.18;-935.18;4.21;0.0;0.0;0.0;0.0;-1.05;9.0;4.25;1.55
12;05:30;0.24;0.0;21.94;128.69;0.0;0.0;859.19;-859.19;3.87;0.0;0.0;0.0;0.0;-0.95;9.0;4.27;1.57
13;06:00;0.25;0.0;21.94;128.25;0.0;0.0;1212.3;-1212.3;11.21;0.0;0.0;0.0;0.0;-0.88;18.5;4.28;1.58
14;06:30;0.28;0.0;21.94;127.82;0.0;0.0;2010.23;-2010.23;18.59;0.0;0.0;0.0;0.0;-0.83;18.5;4.29;1.59
15;07:00;0.33;0.0;21.94;125.51;0.0;0.0;2502.55;-2502.55;40.79;0.0;0.0;0.0;0.0;-0.8;32.6;4.3;1.6
16;07:30;0.0;1.0;21.55;86.79;0.0;0.0;4410.16;-4410.16;71.89;0.0;0.0;0.0;0.0;-0.8;32.6;4.3;1.6
17;08:00;1.0;0.0;22.12;86.36;0.0;0.0;4134.71;-4134.71;58.71;0.0;0.0;0.0;0.0;-0.78;28.4;4.3;1.6
18;08:30;0.2;0.0;21.95;85.93;0.0;0.0;1294.07;-1294.07;18.38;0.0;0.0;0.0;0.0;-0.73;28.4;4.31;1.61
19;09:00;0.38;0.0;21.95;85.5;0.0;0.0;1589.72;-1589.72;21.22;0.0;0.0;0.0;0.0;-0.68;26.7;4.32;1.62
20;09:30;0.43;0.0;21.95;85.07;0.0;0.0;1720.41;-1720.41;22.97;0.0;0.0;0.0;0.0;-0.63;26.7;4.33;1.63
