timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;21.59;133.42;0.0;0.0;744.08;-744.08;3.72;0.0;0.0;0.0;0.0;-1.1;10.0;4.24;1.54
2;00:30;0.0;0.0;21.4;132.99;0.0;0.0;142.39;-142.39;0.71;0.0;0.0;0.0;0.1;-1.1;10.0;4.24;1.54
3;01:00;1.0;0.0;22.15;132.56;0.0;0.0;3143.55;-3143.55;18.7;0.0;0.0;0.0;0.0;-1.1;11.9;4.24;1.54
4;01:30;0.2;0.0;22.09;132.13;0.0;0.0;747.7;-747.7;4.45;0.0;0.0;0.0;0.0;-1.1;11.9;4.24;1.54
5;02:00;0.2;0.0;22.02;131.7;0.0;0.0;744.02;-744.02;3.57;0.0;0.0;0.0;0.0;-1.15;9.6;4.23;1.53
6;02:30;0.2;0.0;21.94;131.27;0.0;0.0;738.14;-738.14;3.54;0.0;0.0;0.0;0.0;-1.25;9.6;4.22;1.52
7;03:00;0.28;0.0;21.94;130.84;0.0;0.0;961.84;-961.84;3.75;0.0;0.0;0.0;0.0;-1.28;7.8;4.21;1.51
8;03:30;0.27;0.0;21.94;130.41;0.0;0.0;932.47;-932.47;3.64;0.0;0.0;0.0;0.0;-1.23;7.8;4.22;1.52
9;04:00;0.27;0.0;21.94;129.98;0.0;0.0;958.97;-958.97;4.17;0.0;0.0;0.0;0.0;-1.18;8.7;4.23;1.53
10;04:30;0.28;0.0;21.94;129.55;0.0;0.0;1037.28;-1037.28;4.51;0.0;0.0;0.0;0.0;-1.13;8.7;4.24;1.54
11;05:00;0.28;0.0;21.94;129.12;0.0;0.0;1444.31;-1444.31;6.5;0.0;0.0;0.0;0.0;-1.05;9.0;4.25;1.55
12;05:30;0.29;0.0;21.94;128.69;0.0;0.0;2237.99;-2237.99;10.07;0.0;0.0;0.0;0.0;-0.95;9.0;4.27;1.57
13;06:00;0.29;0.0;21.94;128.25;0.0;0.0;2671.98;-2671.98;24.72;0.0;0.0;0.0;0.0;-0.88;18.5;4.28;1.58
14;06:30;0.32;0.0;21.94;127.82;0.0;0.0;2786.74;-2786.74;25.78;0.0;0.0;0.0;0.0;-0.83;18.5;4.29;1.59
15;07:00;0.33;0.0;21.94;118.35;0.0;0.0;2510.49;-2510.49;40.92;0.0;0.0;0.0;0.0;-0.8;32.6;4.3;1.6
16;07:30;0.33;0.0;21.94;109.33;0.0;0.0;1845.23;-1845.23;30.08;0.0;0.0;0.0;0.0;-0.8;32.6;4.3;1.6
17;08:00;0.34;0.0;21.94;108.9;0.0;0.0;1545.06;-1545.06;21.94;0.0;0.0;0.0;0.0;-0.78;28.4;4.3;1.6
18;08:30;0.38;0.0;21.94;108.47;0.0;0.0;1662.9;-1662.9;23.61;0.0;0.0;0.0;0.0;-0.73;28.4;4.31;1.61
19;09:00;0.39;0.0;21.94;108.04;0.0;0.0;1884.32;-1884.32;25.16;0.0;0.0;0.0;0.0;-0.68;26.7;4.32;1.62
20;09:30;0.36;0.0;21.94;107.61;0.0;0.0;2243.89;-2243.89;29.96;0.0;0.0;0.0;0.0;-0.63;26.7;4.33;1.63
21;10:00;0.35;0.0;21.94;107.18;0.0;0.0;2239.94;-2239.94;30.13;0.0;0.0;0.0;0.0;-0.58;26.9;4.34;1.64
22;10:30;0.35;0.0;21.94;106.75;0.0;0.0;1877.21;-1877.21;25.25;0.0;0.0;0.0;0.0;-0.53;26.9;4.35;1.65
23;11:00;0.34;0.0;21.94;106.32;0.0;0.0;2055.33;-2055.33;30.93;0.0;0.0;0.0;0.0;-0.5;30.1;4.35;1.65
24;11:30;0.31;0.0;21.94;102.39;0.0;0.0;2789.52;-2789.52;41.98;0.0;0.0;0.0;0.0;-0.5;30.1;4.35;1.65
25;12:00;0.33;0.0;21.94;101.96;0.0;0.0;2880.49;-2880.49;42.49;0.0;0.0;0.0;0.0;-0.52;29.5;4.35;1.65
26;12:30;0.38;0.0;21.94;99.57;0.0;0.0;2201.95;-2201.95;32.48;0.0;0.0;0.0;0.0;-0.57;29.5;4.34;1.64
27;13:00;0.4;0.0;21.94;99.14;0.0;0.0;1938.18;-1938.18;27.52;0.0;0.0;0.0;0.0;-0.65;28.4;4.32;1.62
28;13:30;0.42;0.0;21.94;98.71;0.0;0.0;2153.79;-2153.79;30.58;0.0;0.0;0.0;0.0;-0.75;28.4;4.31;1.61
29;14:00;0.4;0.0;21.94;98.28;0.0;0.0;2186.14;-2186.14;30.17;0.0;0.0;0.0;0.0;-0.85;27.6;4.29;1.59
30;14:30;0.37;0.0;21.94;97.85;0.0;0.0;2042.9;-2042.9;28.19;0.0;0.0;0.0;0.0;-0.95;27.6;4.27;1.57
31;15:00;0.37;0.0;21.94;97.42;0.0;0.0;1887.07;-1887.07;26.32;0.0;0.0;0.0;0.0;-0.98;27.9;4.26;1.56
