timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;4700.0;21.6;133.42;43.49;26.09;0.0;0.0;5429.35;-5429.35;27.15;1952.8;0.0;129.4;1.0;0.0;0.0;-1.1;10.0;4.24;1.54
2;00:30;0.0;0.0;0.0;21.42;132.99;43.49;26.09;0.0;0.0;123.19;-123.19;0.62;2213.1;0.0;123.2;1.0;0.0;0.08;-1.1;10.0;4.24;1.54
3;01:00;0.0;0.0;0.0;21.24;132.56;43.49;26.09;0.0;0.0;123.55;-123.55;0.74;2372.0;0.0;123.6;1.0;0.0;0.26;-1.1;11.9;4.24;1.54
4;01:30;1.0;0.0;0.0;22.02;132.13;43.49;26.09;0.0;0.0;3132.79;-3132.79;18.64;2511.3;0.0;132.8;1.0;0.0;0.0;-1.1;11.9;4.24;1.54
5;02:00;0.2;0.0;0.0;22.0;131.7;43.49;26.09;0.0;0.0;734.94;-734.94;3.53;2685.6;0.0;134.9;1.0;0.0;0.0;-1.15;9.6;4.23;1.53
6;02:30;0.2;0.0;0.0;21.97;131.27;43.49;26.09;0.0;0.0;728.27;-728.27;3.5;2877.9;0.0;128.3;1.0;0.0;0.0;-1.25;9.6;4.22;1.52
7;03:00;0.2;0.0;0.0;21.94;130.84;43.49;26.09;0.0;0.0;718.1;-718.1;2.8;2919.9;0.0;118.1;1.0;0.0;0.0;-1.28;7.8;4.21;1.51
8;03:30;0.23;0.0;0.0;21.94;130.41;43.49;26.09;0.0;0.0;785.37;-785.37;3.06;2818.0;0.0;106.8;1.0;0.0;0.0;-1.23;7.8;4.22;1.52
9;04:00;0.24;0.0;0.0;21.94;129.98;43.49;26.09;0.0;0.0;812.76;-812.76;3.54;2957.8;0.0;102.6;1.0;0.0;0.0;-1.18;8.7;4.23;1.53
10;04:30;0.27;0.0;0.0;21.94;129.55;43.49;26.09;0.0;0.0;925.82;-925.82;4.03;3420.3;0.0;108.0;1.0;0.0;0.0;-1.13;8.7;4.24;1.54
11;05:00;0.27;0.0;0.0;21.94;129.12;43.49;26.09;0.0;0.0;933.06;-933.06;4.2;3421.1;0.0;117.6;1.0;0.0;0.0;-1.05;9.0;4.25;1.55
12;05:30;0.24;0.0;0.0;21.94;128.69;43.49;26.09;0.0;0.0;857.27;-857.27;3.86;3054.2;0.0;131.2;1.0;0.0;0.0;-0.95;9.0;4.27;1.57
13;06:00;0.24;0.0;0.0;21.94;128.25;43.49;26.09;0.0;0.0;1206.69;-1206.69;11.16;3085.2;0.0;475.7;1.0;0.0;0.0;-0.88;18.5;4.28;1.58
14;06:30;0.28;0.0;0.0;21.94;127.82;43.49;26.09;0.0;0.0;2022.14;-2022.14;18.7;3605.6;0.0;1171.4;1.0;0.0;0.0;-0.83;18.5;4.29;1.59
15;07:00;0.33;0.0;0.0;21.94;125.51;43.49;26.09;0.0;0.0;2487.67;-2487.67;40.55;4238.2;196.7;1490.6;1.0;0.0;0.0;-0.8;32.6;4.3;1.6
16;07:30;0.0;1.0;0.0;21.55;70.73;43.49;26.09;0.0;0.0;4404.15;-4404.15;71.79;5044.7;10469.3;1404.2;1.0;0.0;0.0;-0.8;32.6;4.3;1.6
17;08:00;1.0;0.0;0.0;22.13;70.3;42.66;25.59;0.0;0.0;4148.78;-4148.78;58.91;5310.1;0.0;1148.8;0.0;1794545.4545454548;0.0;-0.78;28.4;4.3;1.6
18;08:30;0.0;1.0;0.0;21.75;116.06;41.82;25.09;0.0;0.0;3692.57;-3692.57;52.43;4876.8;0.0;692.6;0.0;1794545.4545454548;0.0;-0.73;28.4;4.31;1.61
19;09:00;0.0;0.0;0.0;21.37;115.63;40.99;24.6;0.0;0.0;453.6;-453.6;6.06;4935.9;0.0;453.6;0.0;1794545.4545454548;0.13;-0.68;26.7;4.32;1.62
20;09:30;1.0;0.0;0.0;21.94;115.2;40.16;24.1;0.0;0.0;3440.82;-3440.82;45.94;5472.4;0.0;440.8;0.0;1794545.4545454548;0.0;-0.63;26.7;4.33;1.63
21;10:00;0.44;0.0;0.0;21.94;114.77;39.33;23.6;0.0;0.0;1920.5;-1920.5;25.83;5693.4;0.0;597.2;0.0;1794545.4545454548;0.0;-0.58;26.9;4.34;1.64
22;10:30;0.43;0.0;0.0;21.94;114.34;38.5;23.1;0.0;0.0;2207.28;-2207.28;29.69;5501.2;0.0;930.9;0.0;1794545.4545454548;0.0;-0.53;26.9;4.35;1.65
23;11:00;0.4;0.0;0.0;21.94;113.9;37.67;22.6;0.0;0.0;2156.45;-2156.45;32.45;5159.7;0.0;960.0;0.0;1794545.4545454548;0.0;-0.5;30.1;4.35;1.65
24;11:30;0.0;1.0;0.0;21.57;119.92;36.84;22.1;0.0;0.0;3671.5;-3671.5;55.26;4839.6;4275.8;671.5;0.0;1794545.4545454548;0.0;-0.5;30.1;4.35;1.65
25;12:00;0.0;0.0;0.0;21.23;118.78;36.01;21.61;0.0;0.0;910.22;-910.22;13.43;4331.1;75.1;910.2;0.0;1794545.4545454548;0.27;-0.52;29.5;4.35;1.65
26;12:30;1.0;0.0;0.0;21.94;115.56;35.18;21.11;0.0;0.0;4722.83;-4722.83;69.66;3716.3;290.7;1722.8;0.0;1794545.4545454548;0.0;-0.57;29.5;4.34;1.64
27;13:00;0.27;0.0;4700.0;21.94;115.13;38.66;23.2;0.0;0.0;7252.0;-7252.0;102.98;3504.8;0.0;1730.9;1.0;0.0;0.0;-0.65;28.4;4.32;1.62
28;13:30;0.29;0.0;4700.0;21.94;114.7;42.15;25.29;0.0;0.0;6441.24;-6441.24;91.47;3720.1;0.0;866.7;1.0;0.0;0.0;-0.75;28.4;4.31;1.61
29;14:00;0.3;0.0;0.0;21.94;114.27;42.15;25.29;0.0;0.0;1449.76;-1449.76;20.01;3847.4;0.0;541.9;1.0;0.0;0.0;-0.85;27.6;4.29;1.59
30;14:30;0.31;0.0;0.0;21.94;113.84;41.32;24.79;0.0;0.0;1724.35;-1724.35;23.8;3984.2;0.0;780.6;0.0;1794545.4545454548;0.0;-0.95;27.6;4.27;1.57
31;15:00;0.34;0.0;0.0;21.94;113.41;40.49;24.29;0.0;0.0;1949.94;-1949.94;27.2;4363.0;0.0;916.3;0.0;1794545.4545454548;0.0;-0.98;27.9;4.26;1.56
32;15:30;0.38;0.0;0.0;21.94;112.98;39.66;23.79;0.0;0.0;2042.39;-2042.39;28.49;4870.3;0.0;892.2;0.0;1794545.4545454548;0.0;-0.93;27.9;4.27;1.57
33;16:00;0.41;0.0;0.0;21.94;112.55;38.83;23.3;0.0;0.0;1960.0;-1960.0;27.93;5223.3;0.0;726.0;0.0;1794545.4545454548;0.0;-0.95;28.5;4.27;1.57
34;16:30;0.41;0.0;0.0;21.94;112.12;38.0;22.8;0.0;0.0;1623.54;-1623.54;23.14;5136.6;0.0;404.7;0.0;1794545.4545454548;0.0;-1.05;28.5;4.25;1.55
35;17:00;0.38;0.0;4700.0;21.94;111.69;41.48;24.89;0.0;0.0;6319.84;-6319.84;100.8;4825.0;0.0;469.4;1.0;0.0;0.0;-1.15;31.9;4.23;1.53
36;17:30;0.33;0.0;0.0;21.94;111.26;41.48;24.89;0.0;0.0;1934.84;-1934.84;30.86;4084.2;0.0;955.3;1.0;0.0;0.0;-1.25;31.9;4.22;1.52
37;18:00;0.3;0.0;0.0;21.94;110.83;41.48;24.89;0.0;0.0;1941.15;-1941.15;30.28;3676.1;0.0;1055.5;1.0;0.0;0.0;-1.32;31.2;4.2;1.5
38;18:30;0.29;0.0;0.0;21.94;110.4;41.48;24.89;0.0;0.0;1636.18;-1636.18;25.52;3645.1;0.0;756.0;1.0;0.0;0.0;-1.37;31.2;4.19;1.49
39;19:00;0.31;0.0;0.0;21.94;109.97;41.48;24.89;0.0;0.0;1508.21;-1508.21;24.06;3833.7;0.0;583.0;1.0;0.0;0.0;-1.38;31.9;4.19;1.49
40;19:30;0.32;0.0;0.0;21.94;106.7;41.48;24.89;0.0;0.0;1542.11;-1542.11;24.6;4045.8;297.0;568.4;1.0;0.0;0.0;-1.33;31.9;4.2;1.5
41;20:00;0.3;0.0;0.0;21.94;106.27;41.48;24.89;0.0;0.0;1515.96;-1515.96;21.6;3763.7;0.0;609.5;1.0;0.0;0.0;-1.32;28.5;4.2;1.5
42;20:30;0.24;0.0;0.0;21.94;104.84;41.48;24.89;0.0;0.0;1443.5;-1443.5;20.57;2978.0;103.7;722.5;1.0;0.0;0.0;-1.37;28.5;4.19;1.49
