timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating)
1;00:00;0.2;21.76;0.0;0.0;4883.96;-4883.96;24.42;11915.3;1884.0;0.0;-1.1;10.0;4.24
2;00:30;0.2;21.78;0.0;0.0;4522.1;-4522.1;22.61;10736.6;1522.1;0.0;-1.1;10.0;4.24
3;01:00;0.2;21.79;0.0;0.0;4316.53;-4316.53;25.68;11608.8;1316.5;0.0;-1.1;11.9;4.24
4;01:30;0.23;21.79;0.0;0.0;4790.08;-4790.08;28.5;14673.1;1278.0;0.0;-1.1;11.9;4.24
5;02:00;0.24;21.79;0.0;0.0;5068.96;-5068.96;24.33;15266.6;1409.5;0.0;-1.15;9.6;4.23
6;02:30;0.21;21.79;0.0;0.0;4911.94;-4911.94;23.58;13218.7;1722.7;0.0;-1.25;9.6;4.22
7;03:00;0.22;21.79;0.0;0.0;5441.28;-5441.28;21.22;13780.5;2114.8;0.0;-1.28;7.8;4.21
8;03:30;0.27;21.79;0.0;0.0;6705.08;-6705.08;26.15;17132.0;2591.4;0.0;-1.23;7.8;4.22
9;04:00;0.32;21.79;0.0;0.0;8595.57;-8595.57;37.39;19913.2;3832.9;0.0;-1.18;8.7;4.23
10;04:30;0.35;21.79;0.0;0.0;11157.11;-11157.11;48.53;22084.8;5892.1;0.0;-1.13;8.7;4.24
11;05:00;0.4;21.79;0.0;0.0;12383.85;-12383.85;55.73;24992.0;6451.4;0.0;-1.05;9.0;4.25
12;05:30;0.45;21.79;0.0;0.0;12180.18;-12180.18;54.81;28685.6;5407.5;0.0;-0.95;9.0;4.27
13;06:00;0.47;21.79;0.0;0.0;11412.21;-11412.21;105.56;29719.0;4419.8;0.0;-0.88;18.5;4.28
14;06:30;0.44;21.79;0.0;0.0;10048.14;-10048.14;92.95;27908.7;3492.2;0.0;-0.83;18.5;4.29
15;07:00;0.44;21.79;0.0;0.0;9794.37;-9794.37;159.65;28252.0;3165.6;0.0;-0.8;32.6;4.3
16;07:30;0.48;21.79;0.0;0.0;10726.01;-10726.01;174.83;30897.4;3481.5;0.0;-0.8;32.6;4.3
17;08:00;0.49;21.79;0.0;0.0;11202.87;-11202.87;159.08;31170.3;3902.2;0.0;-0.78;28.4;4.3
18;08:30;0.45;21.79;0.0;0.0;11195.25;-11195.25;158.97;28907.0;4435.1;0.0;-0.73;28.4;4.31
19;09:00;0.42;21.79;0.0;0.0;10778.38;-10778.38;143.89;26884.6;4500.6;0.0;-0.68;26.7;4.32
20;09:30;0.39;21.79;0.0;0.0;9923.47;-9923.47;132.48;25119.6;4066.6;0.0;-0.63;26.7;4.33
21;10:00;0.39;21.79;0.0;0.0;9416.28;-9416.28;126.65;24913.3;3619.2;0.0;-0.58;26.9;4.34
22;10:30;0.41;21.79;0.0;0.0;9278.35;-9278.35;124.79;26373.4;3157.2;0.0;-0.53;26.9;4.35
