timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;4700.0;21.56;133.42;43.49;26.09;0.0;0.0;5433.26;-5433.26;27.17;2412.9;0.0;133.3;1.0;0.0;0.0;-1.1;10.0;4.24;1.54
2;00:30;0.0;0.0;0.0;21.36;132.99;43.49;26.09;0.0;0.0;133.26;-133.26;0.67;2582.7;0.0;133.3;1.0;0.0;0.14;-1.1;10.0;4.24;1.54
3;01:00;1.0;0.0;0.0;22.12;132.56;43.49;26.09;0.0;0.0;3133.26;-3133.26;18.64;2737.0;0.0;133.3;1.0;0.0;0.0;-1.1;11.9;4.24;1.54
4;01:30;0.2;0.0;0.0;22.09;132.13;43.49;26.09;0.0;0.0;733.26;-733.26;4.36;2874.7;0.0;133.3;1.0;0.0;0.0;-1.1;11.9;4.24;1.54
5;02:00;0.2;0.0;0.0;22.05;131.7;43.49;26.09;0.0;0.0;733.26;-733.26;3.52;3005.4;0.0;133.3;1.0;0.0;0.0;-1.15;9.6;4.23;1.53
6;02:30;0.2;0.0;0.0;22.0;131.27;43.49;26.09;0.0;0.0;733.26;-733.26;3.52;3128.4;0.0;133.3;1.0;0.0;0.0;-1.25;9.6;4.22;1.52
7;03:00;0.2;0.0;0.0;21.95;130.84;43.49;26.09;0.0;0.0;733.26;-733.26;2.86;3234.2;0.0;133.3;1.0;0.0;0.0;-1.28;7.8;4.21;1.51
8;03:30;0.27;0.0;0.0;21.95;130.41;43.49;26.09;0.0;0.0;931.12;-931.12;3.63;3321.4;0.0;133.3;1.0;0.0;0.0;-1.23;7.8;4.22;1.52
9;04:00;0.27;0.0;0.0;21.95;129.98;43.49;26.09;0.0;0.0;957.97;-957.97;4.17;3397.6;0.0;143.8;1.0;0.0;0.0;-1.18;8.7;4.23;1.53
10;04:30;0.28;0.0;0.0;21.95;129.55;43.49;26.09;0.0;0.0;993.22;-993.22;4.32;3461.9;0.0;165.6;1.0;0.0;0.0;-1.13;8.7;4.24;1.54
11;05:00;0.28;0.0;0.0;21.95;129.12;43.49;26.09;0.0;0.0;1471.82;-1471.82;6.62;3518.9;0.0;633.4;1.0;0.0;0.0;-1.05;9.0;4.25;1.55
12;05:30;0.28;0.0;0.0;21.95;128.69;43.49;26.09;0.0;0.0;2424.36;-2424.36;10.91;3568.1;0.0;1578.0;1.0;0.0;0.0;-0.95;9.0;4.27;1.57
13;06:00;0.31;0.0;0.0;21.95;125.23;43.49;26.09;0.0;0.0;2847.73;-2847.73;26.34;3902.2;315.9;1926.0;1.0;0.0;0.0;-0.88;18.5;4.28;1.58
14;06:30;0.36;0.0;0.0;21.95;124.8;43.49;26.09;0.0;0.0;2705.04;-2705.04;25.02;4540.9;0.0;1636.4;1.0;0.0;0.0;-0.83;18.5;4.29;1.59
15;07:00;0.38;0.0;0.0;21.95;83.79;43.49;26.09;0.0;0.0;2377.41;-2377.41;38.75;4811.0;4241.5;1247.1;1.0;0.0;0.0;-0.8;32.6;4.3;1.6
16;07:30;0.37;0.0;0.0;21.95;81.32;43.49;26.09;0.0;0.0;1852.57;-1852.57;30.2;4686.9;213.0;751.1;1.0;0.0;0.0;-0.8;32.6;4.3;1.6
17;08:00;0.38;0.0;0.0;21.95;80.38;43.49;26.09;0.0;0.0;1651.5;-1651.5;23.45;4840.0;54.1;515.5;1.0;0.0;0.0;-0.78;28.4;4.3;1.6
18;08:30;0.0;1.0;0.0;21.54;126.14;43.49;26.09;0.0;0.0;3558.32;-3558.32;50.53;5289.5;0.0;558.3;1.0;0.0;0.0;-0.73;28.4;4.31;1.61
19;09:00;1.0;0.0;0.0;22.11;125.71;43.19;25.92;0.0;0.0;3722.63;-3722.63;49.7;5401.3;0.0;722.6;0.0;630000.0;0.0;-0.68;26.7;4.32;1.62
20;09:30;0.2;0.0;0.0;21.91;125.27;42.9;25.74;0.0;0.0;1616.85;-1616.85;21.58;5152.1;0.0;1016.8;0.0;630000.0;0.0;-0.63;26.7;4.33;1.63
21;10:00;0.38;0.0;0.0;21.91;123.12;42.61;25.57;0.0;0.0;2198.6;-2198.6;29.57;4941.7;179.8;1048.6;0.0;630000.0;0.0;-0.58;26.9;4.34;1.64
22;10:30;0.37;0.0;0.0;21.91;122.69;42.32;25.39;0.0;0.0;1908.58;-1908.58;25.67;4772.9;0.0;799.8;0.0;630000.0;0.0;-0.53;26.9;4.35;1.65
23;11:00;0.35;0.0;0.0;21.91;122.26;42.03;25.22;0.0;0.0;2101.22;-2101.22;31.62;4503.2;0.0;1055.7;0.0;630000.0;0.0;-0.5;30.1;4.35;1.65
24;11:30;0.32;0.0;0.0;21.91;121.83;41.74;25.04;0.0;0.0;2809.66;-2809.66;42.29;4125.5;0.0;1850.9;0.0;630000.0;0.0;-0.5;30.1;4.35;1.65
25;12:00;0.31;0.0;0.0;21.91;119.58;41.44;24.87;0.0;0.0;2797.27;-2797.27;41.26;4060.6;190.3;1852.5;0.0;630000.0;0.0;-0.52;29.5;4.35;1.65
26;12:30;0.34;0.0;0.0;21.91;117.43;41.15;24.69;0.0;0.0;2014.54;-2014.54;29.71;4330.0;179.8;1005.7;0.0;630000.0;0.0;-0.57;29.5;4.34;1.64
27;13:00;0.35;0.0;0.0;21.91;117.0;40.86;24.52;0.0;0.0;1685.84;-1685.84;23.94;4482.7;0.0;638.6;0.0;630000.0;0.0;-0.65;28.4;4.32;1.62
28;13:30;0.35;0.0;0.0;21.91;116.57;40.57;24.34;0.0;0.0;1842.34;-1842.34;26.16;4510.5;0.0;784.2;0.0;630000.0;0.0;-0.75;28.4;4.31;1.61
29;14:00;0.36;0.0;0.0;21.91;116.14;40.28;24.17;0.0;0.0;1933.94;-1933.94;26.69;4533.1;0.0;866.1;0.0;630000.0;0.0;-0.85;27.6;4.29;1.59
30;14:30;0.36;0.0;0.0;21.91;115.71;39.99;23.99;0.0;0.0;1956.12;-1956.12;26.99;4550.0;0.0;879.8;0.0;630000.0;0.0;-0.95;27.6;4.27;1.57
31;15:00;0.36;0.0;0.0;21.91;115.28;39.69;23.82;0.0;0.0;1827.37;-1827.37;25.49;4606.0;0.0;736.7;0.0;630000.0;0.0;-0.98;27.9;4.26;1.56
