timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW)
1;00:00;0.0;0.2;21.52;133.42;0.0;0.0;720.04;-720.04;3.6;0.0;0.0;0.0;0.0;-1.1;10.0;4.24;1.54
2;00:30;0.0;0.0;21.29;132.99;0.0;0.0;132.65;-132.65;0.66;0.0;0.0;0.0;0.21;-1.1;10.0;4.24;1.54
3;01:00;1.0;0.0;22.02;132.56;0.0;0.0;3132.0;-3132.0;18.64;0.0;0.0;0.0;0.0;-1.1;11.9;4.24;1.54
4;01:30;0.2;0.0;21.98;132.13;0.0;0.0;715.3;-715.3;4.26;0.0;0.0;0.0;0.0;-1.1;11.9;4.24;1.54
5;02:00;0.2;0.0;21.94;131.7;0.0;0.0;713.29;-713.29;3.42;0.0;0.0;0.0;0.0;-1.15;9.6;4.23;1.53
6;02:30;0.28;0.0;21.94;131.27;0.0;0.0;960.3;-960.3;4.61;0.0;0.0;0.0;0.0;-1.25;9.6;4.22;1.52
7;03:00;0.28;0.0;21.94;130.84;0.0;0.0;972.39;-972.39;3.79;0.0;0.0;0.0;0.0;-1.28;7.8;4.21;1.51
8;03:30;0.24;0.0;21.94;130.41;0.0;0.0;872.19;-872.19;3.4;0.0;0.0;0.0;0.0;-1.23;7.8;4.22;1.52
9;04:00;0.24;0.0;21.94;129.98;0.0;0.0;1264.59;-1264.59;5.5;0.0;0.0;0.0;0.0;-1.18;8.7;4.23;1.53
10;04:30;0.27;0.0;21.94;129.55;0.0;0.0;2190.91;-2190.91;9.53;0.0;0.0;0.0;0.0;-1.13;8.7;4.24;1.54
11;05:00;0.31;0.0;21.94;129.12;0.0;0.0;2596.24;-2596.24;11.68;0.0;0.0;0.0;0.0;-1.05;9.0;4.25;1.55
12;05:30;0.34;0.0;21.94;128.69;0.0;0.0;2436.77;-2436.77;10.97;0.0;0.0;0.0;0.0;-0.95;9.0;4.27;1.57
13;06:00;0.35;0.0;21.94;128.25;0.0;0.0;2135.25;-2135.25;19.75;0.0;0.0;0.0;0.0;-0.88;18.5;4.28;1.58
14;06:30;0.33;0.0;21.94;127.82;0.0;0.0;1645.2;-1645.2;15.22;0.0;0.0;0.0;0.0;-0.83;18.5;4.29;1.59
15;07:00;0.35;0.0;21.94;85.78;0.0;0.0;1549.13;-1549.13;25.25;0.0;0.0;0.0;0.0;-0.8;32.6;4.3;1.6
16;07:30;0.42;0.0;21.94;82.96;0.0;0.0;1867.21;-1867.21;30.44;0.0;0.0;0.0;0.0;-0.8;32.6;4.3;1.6
17;08:00;0.42;0.0;21.94;82.53;0.0;0.0;2027.17;-2027.17;28.79;0.0;0.0;0.0;0.0;-0.78;28.4;4.3;1.6
18;08:30;0.34;0.0;21.94;82.1;0.0;0.0;1994.08;-1994.08;28.32;0.0;0.0;0.0;0.0;-0.73;28.4;4.31;1.61
