timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating)
1;00:00;0.23;21.75;0.0;0.0;7637.6;-7637.6;38.19;14234.2;4229.0;0.0;-1.1;10.0;4.24
2;00:30;0.2;21.76;0.0;0.0;6405.09;-6405.09;32.03;11906.6;3405.1;0.0;-1.1;10.0;4.24
3;01:00;0.2;21.78;0.0;0.0;5788.44;-5788.44;34.44;10585.0;2788.4;0.0;-1.1;11.9;4.24
4;01:30;0.2;21.81;0.0;0.0;5393.35;-5393.35;32.09;10338.9;2393.4;0.0;-1.1;11.9;4.24
5;02:00;0.2;21.82;0.0;0.0;4997.06;-4997.06;23.99;11315.5;1997.1;0.0;-1.15;9.6;4.23
6;02:30;0.22;21.82;0.0;0.0;4879.03;-4879.03;23.42;13599.3;1599.5;0.0;-1.25;9.6;4.22
7;03:00;0.23;21.82;0.0;0.0;4819.95;-4819.95;18.8;14573.2;1305.2;0.0;-1.28;7.8;4.21
8;03:30;0.23;21.82;0.0;0.0;4527.63;-4527.63;17.66;14146.7;1121.5;0.0;-1.23;7.8;4.22
9;04:00;0.23;21.82;0.0;0.0;4665.17;-4665.17;20.29;14515.9;1179.0;0.0;-1.18;8.7;4.23
10;04:30;0.25;21.82;0.0;0.0;5260.96;-5260.96;22.89;15735.5;1494.3;0.0;-1.13;8.7;4.24
11;05:00;0.27;21.82;0.0;0.0;6060.99;-6060.99;27.27;16964.5;2017.1;0.0;-1.05;9.0;4.25
12;05:30;0.29;21.82;0.0;0.0;7078.6;-7078.6;31.85;18203.5;2761.5;0.0;-0.95;9.0;4.27
13;06:00;0.29;21.82;0.0;0.0;8421.58;-8421.58;77.9;18703.2;4001.5;0.0;-0.88;18.5;4.28
14;06:30;0.29;21.82;0.0;0.0;10114.47;-10114.47;93.56;18412.6;5771.4;0.0;-0.83;18.5;4.29
15;07:00;0.33;21.82;0.0;0.0;11328.61;-11328.61;184.66;20726.4;6451.6;0.0;-0.8;32.6;4.3
16;07:30;0.4;21.82;0.0;0.0;12030.71;-12030.71;196.1;25824.1;5967.1;0.0;-0.8;32.6;4.3
17;08:00;0.48;21.82;0.0;0.0;12430.36;-12430.36;176.51;30869.3;5199.7;0.0;-0.78;28.4;4.3
18;08:30;0.56;21.82;0.0;0.0;12503.14;-12503.14;177.54;35858.3;4129.9;0.0;-0.73;28.4;4.31
19;09:00;0.58;21.82;0.0;0.0;12204.58;-12204.58;162.93;37222.6;3532.8;0.0;-0.68;26.7;4.32
