timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;0.2;21.52;133.42;0.0;0.0;720.04;-720.04;3.6;2921.4;0.0;120.0;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;0.0;21.29;132.99;0.0;0.0;132.65;-132.65;0.66;3045.8;0.0;132.6;0.21;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;1.0;0.0;22.02;132.56;0.0;0.0;3132.0;-3132.0;18.64;3062.6;0.0;132.0;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.0;0.2;21.79;140.98;0.0;0.0;715.3;-715.3;4.26;2996.6;0.0;115.3;0.0;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.0;0.32;21.55;154.66;0.0;0.0;1075.39;-1075.39;5.16;3112.4;0.0;113.3;0.0;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.49;0.0;21.75;154.23;0.0;0.0;1587.31;-1587.31;7.62;3465.0;0.0;127.6;0.0;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.5;0.0;21.97;153.8;0.0;0.0;1646.22;-1646.22;6.42;3474.2;0.0;136.6;0.0;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.47;0.0;22.19;153.37;0.0;0.0;1546.02;-1546.02;6.03;3038.1;0.0;141.5;0.0;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;0.44;0.0;22.38;152.94;0.0;0.0;1857.06;-1857.06;8.08;2995.0;0.0;545.6;0.0;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;0.27;0.0;22.38;152.51;0.0;0.0;2190.91;-2190.91;9.53;3431.9;0.0;1370.4;0.0;-1.13;8.7;4.24;1.54;0.0;0.0
