timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;0.2;0.0;0.0;21.79;124.57;40.0;24.0;0.0;0.0;729.57;-729.57;3.65;1952.6;0.0;129.6;1.0;0.0;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
2;00:30;0.0;1.0;0.0;21.62;168.4;40.0;24.0;0.0;0.0;3122.91;-3122.91;15.61;2205.0;0.0;122.9;1.0;0.0;0.0;-1.1;10.0;4.24;1.54;0.0;0.0
3;01:00;0.0;0.73;0.0;21.43;200.09;40.0;24.0;0.0;0.0;2302.31;-2302.31;13.7;2416.3;0.0;124.9;1.0;0.0;0.07;-1.1;11.9;4.24;1.54;0.0;0.0
4;01:30;0.0;0.2;0.0;21.24;208.51;40.0;24.0;0.0;0.0;733.17;-733.17;4.36;2494.1;0.0;133.2;1.0;0.0;0.26;-1.1;11.9;4.24;1.54;0.0;0.0
5;02:00;0.21;0.0;0.0;21.24;208.08;40.0;24.0;0.0;0.0;778.95;-778.95;3.74;2684.5;0.0;135.7;1.0;0.0;0.26;-1.15;9.6;4.23;1.53;0.0;0.0
6;02:30;0.41;0.0;0.0;21.41;207.65;40.0;24.0;0.0;0.0;1358.2;-1358.2;6.52;2875.4;0.0;127.9;1.0;0.0;0.09;-1.25;9.6;4.22;1.52;0.0;0.0
7;03:00;0.2;0.0;2911.13;21.38;207.22;42.16;25.3;0.0;0.0;3628.75;-3628.75;14.15;2933.0;0.0;117.6;1.0;0.0;0.12;-1.28;7.8;4.21;1.51;0.0;0.0
8;03:30;0.2;0.0;0.0;21.35;206.79;42.16;25.3;0.0;0.0;705.63;-705.63;2.75;2837.7;0.0;105.6;1.0;0.0;0.15;-1.23;7.8;4.22;1.52;0.0;0.0
9;04:00;1.0;0.0;0.0;22.09;206.36;42.16;25.3;0.0;0.0;3101.79;-3101.79;13.49;2957.0;0.0;101.8;1.0;0.0;0.0;-1.18;8.7;4.23;1.53;0.0;0.0
10;04:30;1.0;0.0;0.0;22.8;205.93;42.16;25.3;0.0;0.0;3108.38;-3108.38;13.52;3383.4;0.0;108.4;1.0;0.0;0.3;-1.13;8.7;4.24;1.54;0.0;0.0
11;05:00;0.0;1.0;0.0;22.53;250.0;42.16;25.3;0.0;0.0;3116.92;-3116.92;14.03;3433.2;0.0;116.9;1.0;0.0;0.03;-1.05;9.0;4.25;1.55;0.0;0.0
12;05:30;0.51;0.0;0.0;22.8;249.57;42.16;25.3;0.0;0.0;1673.9;-1673.9;7.53;3058.3;0.0;132.2;1.0;0.0;0.3;-0.95;9.0;4.27;1.57;0.0;0.0
13;06:00;0.25;0.0;0.0;22.8;249.14;42.16;25.3;0.0;0.0;1212.15;-1212.15;11.21;3113.4;0.0;474.8;1.0;0.0;0.3;-0.88;18.5;4.28;1.58;0.0;0.0
14;06:30;0.28;0.0;0.0;22.8;248.71;41.74;25.04;0.0;0.0;2010.31;-2010.31;18.6;3516.9;0.0;1180.2;0.0;909625.6684491979;0.3;-0.83;18.5;4.29;1.59;0.0;0.0
15;07:00;0.0;0.0;0.0;22.47;246.4;41.32;24.79;0.0;0.0;1497.56;-1497.56;24.41;4272.4;196.7;1497.6;0.0;909625.6684491979;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
16;07:30;0.0;0.0;0.0;22.08;145.93;40.9;24.54;0.0;0.0;1410.16;-1410.16;22.99;5028.5;10456.6;1410.2;0.0;909625.6684491979;0.0;-0.8;32.6;4.3;1.6;0.0;0.0
17;08:00;0.0;0.0;0.0;21.67;145.5;40.47;24.28;0.0;0.0;1134.71;-1134.71;16.11;5354.9;0.0;1134.7;0.0;909625.6684491979;0.0;-0.78;28.4;4.3;1.6;0.0;0.0
18;08:30;0.0;0.0;0.0;21.29;145.07;40.05;24.03;0.0;0.0;694.07;-694.07;9.86;4858.1;0.0;694.1;0.0;909625.6684491979;0.21;-0.73;28.4;4.31;1.61;0.0;0.0
19;09:00;1.0;0.0;0.0;21.91;144.64;39.63;23.78;0.0;0.0;3445.0;-3445.0;45.99;4898.3;0.0;445.0;0.0;909625.6684491979;0.0;-0.68;26.7;4.32;1.62;0.0;0.0
20;09:30;0.2;0.0;0.0;21.68;144.21;39.21;23.53;0.0;0.0;1040.87;-1040.87;13.9;5492.0;0.0;440.9;0.0;909625.6684491979;0.0;-0.63;26.7;4.33;1.63;0.0;0.0
21;10:00;1.0;0.0;0.0;22.24;143.78;38.79;23.27;0.0;0.0;3596.15;-3596.15;48.37;5665.8;0.0;596.2;0.0;909625.6684491979;0.0;-0.58;26.9;4.34;1.64;0.0;0.0
22;10:30;0.2;0.0;0.0;22.02;143.34;38.37;23.02;0.0;0.0;1528.55;-1528.55;20.56;5459.0;0.0;928.5;0.0;909625.6684491979;0.0;-0.53;26.9;4.35;1.65;0.0;0.0
23;11:00;0.2;0.0;0.0;21.82;142.91;37.95;22.77;0.0;0.0;1566.02;-1566.02;23.57;5209.7;0.0;966.0;0.0;909625.6684491979;0.0;-0.5;30.1;4.35;1.65;0.0;0.0
24;11:30;0.2;0.0;0.0;21.64;101.07;37.53;22.52;0.0;0.0;1271.45;-1271.45;19.14;4810.2;4328.5;671.4;0.0;909625.6684491979;0.0;-0.5;30.1;4.35;1.65;0.0;0.0
25;12:00;0.28;0.0;0.0;21.59;99.96;37.11;22.26;0.0;0.0;1748.14;-1748.14;25.79;4333.4;71.3;914.7;0.0;909625.6684491979;0.0;-0.52;29.5;4.35;1.65;0.0;0.0
26;12:30;0.2;0.0;0.0;21.49;96.6;36.68;22.01;0.0;0.0;2322.56;-2322.56;34.26;3808.4;306.5;1722.6;0.0;909625.6684491979;0.01;-0.57;29.5;4.34;1.64;0.0;0.0
27;13:00;1.0;0.0;0.0;22.21;96.17;36.26;21.76;0.0;0.0;4709.73;-4709.73;66.88;3568.3;0.0;1709.7;0.0;909625.6684491979;0.0;-0.65;28.4;4.32;1.62;0.0;0.0
28;13:30;0.2;0.0;0.0;22.12;95.74;35.84;21.51;0.0;0.0;1470.06;-1470.06;20.87;3706.3;0.0;870.1;0.0;909625.6684491979;0.0;-0.75;28.4;4.31;1.61;0.0;0.0
29;14:00;1.0;0.0;0.0;22.8;95.31;35.42;21.25;0.0;0.0;3535.15;-3535.15;48.79;3886.6;0.0;535.2;0.0;909625.6684491979;0.3;-0.85;27.6;4.29;1.59;0.0;0.0
30;14:30;0.0;0.0;0.0;22.49;94.88;35.0;21.0;0.0;0.0;785.52;-785.52;10.84;3984.9;0.0;785.5;0.0;909625.6684491979;0.0;-0.95;27.6;4.27;1.57;0.0;0.0
31;15:00;0.0;0.0;0.0;22.16;94.45;35.0;21.0;0.0;0.0;908.45;-908.45;12.67;4320.4;0.0;908.4;1.0;0.0;0.0;-0.98;27.9;4.26;1.56;0.0;0.0
32;15:30;0.0;0.0;0.0;21.78;94.01;35.0;21.0;0.0;0.0;903.21;-903.21;12.6;4932.6;0.0;903.2;1.0;0.0;0.0;-0.93;27.9;4.27;1.57;0.0;0.0
33;16:00;0.0;0.0;0.0;21.38;93.58;35.0;21.0;0.0;0.0;735.74;-735.74;10.48;5178.1;0.0;735.7;1.0;0.0;0.12;-0.95;28.5;4.27;1.57;0.0;0.0
34;16:30;0.53;0.0;0.0;21.49;93.15;35.0;21.0;0.0;0.0;1988.03;-1988.03;28.33;5176.6;0.0;404.3;1.0;0.0;0.01;-1.05;28.5;4.25;1.55;0.0;0.0
35;17:00;0.2;0.0;0.0;21.32;92.72;35.0;21.0;0.0;0.0;1072.79;-1072.79;17.11;4766.7;0.0;472.8;1.0;0.0;0.18;-1.15;31.9;4.23;1.53;0.0;0.0
36;17:30;0.2;0.0;0.0;21.2;92.29;35.0;21.0;0.0;0.0;1552.62;-1552.62;24.76;4034.3;0.0;952.6;1.0;0.0;0.3;-1.25;31.9;4.22;1.52;0.0;0.0
37;18:00;0.6;0.0;0.0;21.5;91.86;35.0;21.0;0.0;0.0;2868.93;-2868.93;44.76;3660.0;0.0;1053.9;1.0;0.0;0.0;-1.32;31.2;4.2;1.5;0.0;0.0
38;18:30;0.62;0.0;0.0;21.81;91.43;35.0;21.0;0.0;0.0;2610.77;-2610.77;40.73;3707.4;0.0;752.6;1.0;0.0;0.0;-1.37;31.2;4.19;1.49;0.0;0.0
39;19:00;0.0;0.0;0.0;21.52;91.0;35.0;21.0;0.0;0.0;577.15;-577.15;9.21;3792.6;0.0;577.2;1.0;0.0;0.0;-1.38;31.9;4.19;1.49;0.0;0.0
40;19:30;0.0;0.0;0.0;21.2;87.64;35.0;21.0;0.0;0.0;566.63;-566.63;9.04;4077.0;306.5;566.6;1.0;0.0;0.3;-1.33;31.9;4.2;1.5;0.0;0.0
41;20:00;0.3;0.0;0.0;21.2;87.21;35.0;21.0;0.0;0.0;1512.93;-1512.93;21.56;3737.8;0.0;612.6;1.0;0.0;0.3;-1.32;28.5;4.2;1.5;0.0;0.0
42;20:30;0.24;0.0;2350.0;21.2;85.73;36.74;22.05;0.0;0.0;3796.46;-3796.46;54.1;2972.8;109.5;726.8;1.0;0.0;0.3;-1.37;28.5;4.19;1.49;0.0;0.0
43;21:00;0.22;0.0;2350.0;21.2;85.3;38.49;23.09;0.0;0.0;3785.61;-3785.61;47.51;2771.0;0.0;763.3;1.0;0.0;0.3;-1.4;25.1;4.19;1.49;0.0;0.0
44;21:30;0.27;0.0;2350.0;21.2;83.25;40.23;24.14;0.0;0.0;3869.37;-3869.37;48.56;3297.3;169.3;721.4;1.0;0.0;0.3;-1.4;25.1;4.19;1.49;0.0;0.0
45;22:00;0.54;0.0;0.0;21.45;82.82;40.23;24.14;0.0;0.0;2239.06;-2239.06;22.39;3441.6;0.0;625.1;1.0;0.0;0.05;-1.47;20.0;4.17;1.47;0.0;0.0
46;22:30;0.0;0.0;0.0;21.2;82.39;40.23;24.14;0.0;0.0;458.06;-458.06;4.58;3206.7;0.0;458.1;1.0;0.0;0.3;-1.62;20.0;4.15;1.45;0.0;0.0
47;23:00;0.56;0.0;0.0;21.51;81.96;40.23;24.14;0.0;0.0;1989.69;-1989.69;13.03;2738.1;0.0;317.2;1.0;0.0;0.0;-1.75;13.1;4.13;1.43;0.0;0.0
48;23:30;0.0;0.33;0.0;21.35;95.0;40.23;24.14;0.0;0.0;1184.9;-1184.9;7.76;2111.9;0.0;184.1;1.0;0.0;0.01;-1.85;13.1;4.11;1.41;0.0;0.0
