id of the run;Costs;Peak Load;Thermal Discomfort;Combined Score
28;[-11.63];[145.51];[0.21];[-11.01429187]
11;-15.09;162.83;0.18;-14.465200829828492
13;-14.53;145.73;0.17;-14.00250786775265
17;-24.86;173.0;0.16;-24.469193100979513
19;-36.68;196.22;0.27;-36.49910921974837
22;-28.38;190.82;0.23;-27.97860607057412
23;-32.02;195.85;0.27;-31.697465733639433
