timeslot;time of day;heatGenerationCoefficientSpaceHeating;temperatureBufferStorage;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];Electricity [W];thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);numberOfStarts_HP;HP_isRunning
1;00:00;0.0;21.58;0.0;0.0;4229.02;-4229.02;21.15;14234.2;4229.0;0.0;-1.1;10.0;4.24;0.0;0.0
2;00:30;0.0;21.43;0.0;0.0;3405.09;-3405.09;17.03;11906.6;3405.1;0.07;-1.1;10.0;4.24;0.0;0.0
3;01:00;0.0;21.3;0.0;0.0;2788.44;-2788.44;16.59;10585.0;2788.4;0.2;-1.1;11.9;4.24;0.0;0.0
4;01:30;0.2;21.33;0.0;0.0;5393.35;-5393.35;32.09;10338.9;2393.4;0.17;-1.1;11.9;4.24;0.0;0.0
5;02:00;1.0;21.95;0.0;0.0;16997.06;-16997.06;81.59;11315.5;1997.1;0.0;-1.15;9.6;4.23;0.0;0.0
6;02:30;0.2;21.94;0.0;0.0;4599.47;-4599.47;22.08;13599.3;1599.5;0.0;-1.25;9.6;4.22;0.0;0.0
7;03:00;0.63;22.23;0.0;0.0;10800.24;-10800.24;42.12;14573.2;1305.2;0.0;-1.28;7.8;4.21;0.0;0.0
8;03:30;0.98;22.8;0.0;0.0;15779.49;-15779.49;61.54;14146.7;1121.5;0.3;-1.23;7.8;4.22;0.0;0.0
9;04:00;0.23;22.8;0.0;0.0;4664.97;-4664.97;20.29;14515.9;1179.0;0.3;-1.18;8.7;4.23;0.0;0.0
10;04:30;0.25;22.8;0.0;0.0;5260.83;-5260.83;22.88;15735.5;1494.3;0.3;-1.13;8.7;4.24;0.0;0.0
11;05:00;0.27;22.8;0.0;0.0;6061.07;-6061.07;27.27;16964.5;2017.1;0.3;-1.05;9.0;4.25;0.0;0.0
12;05:30;0.29;22.8;0.0;0.0;7078.49;-7078.49;31.85;18203.5;2761.5;0.3;-0.95;9.0;4.27;0.0;0.0
13;06:00;0.29;22.8;0.0;0.0;8422.04;-8422.04;77.9;18703.2;4001.5;0.3;-0.88;18.5;4.28;0.0;0.0
14;06:30;0.29;22.8;0.0;0.0;10113.9;-10113.9;93.55;18412.6;5771.4;0.3;-0.83;18.5;4.29;0.0;0.0
15;07:00;0.0;22.55;0.0;0.0;6451.65;-6451.65;105.16;20726.4;6451.6;0.05;-0.8;32.6;4.3;0.0;0.0
16;07:30;0.0;22.24;0.0;0.0;5967.13;-5967.13;97.26;25824.1;5967.1;0.0;-0.8;32.6;4.3;0.0;0.0
17;08:00;0.0;21.87;0.0;0.0;5199.71;-5199.71;73.84;30869.3;5199.7;0.0;-0.78;28.4;4.3;0.0;0.0
18;08:30;0.0;21.44;0.0;0.0;4129.88;-4129.88;58.64;35858.3;4129.9;0.06;-0.73;28.4;4.31;0.0;0.0
19;09:00;1.0;21.77;0.0;0.0;18532.84;-18532.84;247.41;37222.6;3532.8;0.0;-0.68;26.7;4.32;0.0;0.0
20;09:30;0.2;21.5;0.0;0.0;6441.21;-6441.21;85.99;34712.3;3441.2;0.0;-0.63;26.7;4.33;0.0;0.0
21;10:00;0.38;21.42;0.0;0.0;9207.89;-9207.89;123.85;31390.2;3564.9;0.08;-0.58;26.9;4.34;0.0;0.0
22;10:30;0.2;21.25;0.0;0.0;6918.75;-6918.75;93.06;27200.4;3918.8;0.25;-0.53;26.9;4.35;0.0;0.0
23;11:00;0.31;21.2;0.0;0.0;8761.23;-8761.23;131.86;24159.8;4088.7;0.3;-0.5;30.1;4.35;0.0;0.0
24;11:30;0.8;21.55;0.0;0.0;16069.65;-16069.65;241.85;22347.5;4062.2;0.0;-0.5;30.1;4.35;0.0;0.0
25;12:00;0.2;21.45;0.0;0.0;6805.7;-6805.7;100.38;21812.3;3805.7;0.05;-0.52;29.5;4.35;0.0;0.0
