timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
1;00:00;1.0;0.0;1169.36;22.52;124.57;40.87;24.52;0.0;0.0;4290.61;-4290.61;-3.22;2142.4;0.0;121.3;1.0;0.0;0.02;-2.0;-1.5;4.08;1.38;0.0;0.0
2;00:30;0.0;1.0;0.0;22.34;163.75;40.87;24.52;0.0;0.0;3121.22;-3121.22;-2.34;2339.4;0.0;121.2;1.0;0.0;0.0;-2.0;-1.5;4.08;1.38;0.0;0.0
3;01:00;0.71;0.0;0.0;22.8;163.32;40.87;24.52;0.0;0.0;2242.27;-2242.27;-4.15;2535.9;0.0;121.9;1.0;0.0;0.3;-2.05;-3.7;4.07;1.37;0.0;0.0
4;01:30;0.0;0.27;0.0;22.59;173.5;40.87;24.52;0.0;0.0;941.9;-941.9;-1.74;2733.8;0.0;121.7;1.0;0.0;0.09;-2.15;-3.7;4.05;1.35;0.0;0.0
5;02:00;0.47;0.0;4700.0;22.8;173.07;44.35;26.61;0.0;0.0;6245.91;-6245.91;-17.8;2878.9;0.0;129.6;1.0;0.0;0.3;-2.3;-5.7;4.03;1.33;0.0;0.0
6;02:30;0.2;0.0;4700.0;22.74;172.64;47.84;28.7;0.0;0.0;5445.51;-5445.51;-15.52;3075.3;0.0;145.5;1.0;0.0;0.24;-2.5;-5.7;3.99;1.29;0.0;0.0
7;03:00;0.2;0.0;4700.0;22.67;172.21;51.32;30.79;0.0;0.0;5452.21;-5452.21;-18.26;3237.5;0.0;152.2;1.0;0.0;0.17;-2.72;-6.7;3.95;1.25;0.0;0.0
8;03:30;0.0;0.2;4700.0;22.41;178.7;54.81;32.89;0.0;0.0;5452.92;-5452.92;-18.27;3376.7;0.0;152.9;1.0;0.0;0.0;-2.97;-6.7;3.91;1.21;0.0;0.0
9;04:00;0.2;0.0;0.0;22.32;178.27;54.81;32.89;0.0;0.0;895.41;-895.41;-2.55;3444.9;0.0;295.4;1.0;0.0;0.0;-3.24;-5.7;3.86;1.16;0.0;0.0
10;04:30;0.87;0.0;0.0;22.8;177.84;54.81;32.89;0.0;0.0;3181.99;-3181.99;-9.07;3586.7;0.0;586.4;1.0;0.0;0.3;-3.54;-5.7;3.8;1.1;0.0;0.0
11;05:00;0.35;0.0;0.0;22.8;177.41;54.81;32.89;0.0;0.0;1898.56;-1898.56;-2.18;3943.1;0.0;836.9;1.0;0.0;0.3;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.42;0.0;0.0;22.8;176.98;54.81;32.89;0.0;0.0;2320.88;-2320.88;-2.67;4641.1;0.0;1061.5;1.0;0.0;0.3;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.48;0.0;0.0;22.8;176.55;54.81;32.89;0.0;0.0;2484.89;-2484.89;-33.05;5283.1;0.0;1033.8;1.0;0.0;0.3;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.45;0.0;0.0;22.73;176.12;54.81;32.89;0.0;0.0;2080.48;-2080.48;-27.67;5686.9;0.0;744.3;0.5;0.0;0.23;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.2;0.0;0.0;22.44;133.45;54.27;32.56;0.0;0.0;1134.96;-1134.96;-10.5;5905.6;4415.2;535.0;0.0;1177272.7272727275;0.0;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;1.0;0.0;0.0;22.8;114.87;53.72;32.23;0.0;0.0;3419.74;-3419.74;-31.63;5840.3;1897.1;419.7;0.0;1177272.7272727275;0.3;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.2;0.0;0.0;22.49;114.24;53.18;31.91;0.0;0.0;910.38;-910.38;-3.87;6046.8;20.9;310.4;0.0;1177272.7272727275;0.0;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.2;0.0;0.0;22.14;107.98;52.63;31.58;0.0;0.0;818.82;-818.82;-3.48;6611.9;608.9;218.8;0.0;1177272.7272727275;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;0.2;0.0;0.0;21.78;107.55;52.09;31.25;0.0;0.0;913.31;-913.31;-0.05;6621.9;0.0;313.3;0.0;1177272.7272727275;0.0;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;1.0;0.0;0.0;22.09;70.23;51.54;30.92;0.0;0.0;3610.14;-3610.14;-0.18;6045.0;3855.4;610.1;0.0;1177272.7272727275;0.0;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;1.0;0.0;0.0;22.44;69.8;51.0;30.6;0.0;0.0;3692.12;-3692.12;7.38;5657.2;0.0;692.1;0.0;1177272.7272727275;0.0;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;0.2;0.0;0.0;22.18;69.37;50.45;30.27;0.0;0.0;1158.32;-1158.32;2.32;5469.5;0.0;558.3;0.0;1177272.7272727275;0.0;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;0.2;0.0;0.0;21.95;68.94;49.91;29.94;0.0;0.0;1016.81;-1016.81;4.22;5174.3;0.0;416.8;0.0;1177272.7272727275;0.0;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;0.2;0.0;0.0;21.72;68.51;49.36;29.62;0.0;0.0;862.24;-862.24;3.58;5121.0;0.0;262.2;0.0;1177272.7272727275;0.0;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;1.0;0.0;0.0;22.18;68.08;49.36;29.62;0.0;0.0;3446.59;-3446.59;12.24;4691.9;0.0;446.6;1.0;0.0;0.0;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;0.2;0.0;0.0;22.04;67.06;49.36;29.62;0.0;0.0;1576.43;-1576.43;5.6;4043.8;62.0;976.4;1.0;0.0;0.0;-4.53;7.1;3.63;1.0;0.0;0.0
27;13:00;0.2;0.0;0.0;21.89;66.63;49.36;29.62;0.0;0.0;1845.29;-1845.29;-1.57;3994.4;0.0;1245.3;1.0;0.0;0.0;-4.45;-1.7;3.64;1.0;0.0;0.0
28;13:30;0.2;0.0;0.0;21.71;66.2;49.36;29.62;0.0;0.0;1842.52;-1842.52;-1.57;4494.0;0.0;1242.5;1.0;0.0;0.0;-4.35;-1.7;3.66;1.0;0.0;0.0
29;14:00;0.68;0.0;0.0;21.92;65.77;48.82;29.29;0.0;0.0;3124.03;-3124.03;-2.66;4768.8;0.0;1082.8;0.0;1177272.7272727275;0.0;-4.25;-1.7;3.67;1.0;0.0;0.0
30;14:30;1.0;0.0;0.0;22.4;65.34;48.27;28.96;0.0;0.0;3746.08;-3746.08;-3.18;4720.6;0.0;746.1;0.0;1177272.7272727275;0.0;-4.15;-1.7;3.69;1.0;0.0;0.0
31;15:00;0.0;0.0;0.0;22.04;64.91;47.73;28.64;0.0;0.0;590.82;-590.82;-1.0;4753.1;0.0;590.8;0.0;1177272.7272727275;0.0;-4.08;-3.4;3.71;1.01;0.0;0.0
32;15:30;0.0;0.0;0.0;21.67;64.48;47.18;28.31;0.0;0.0;594.01;-594.01;-1.01;4777.9;0.0;594.0;0.0;1177272.7272727275;0.0;-4.03;-3.4;3.72;1.02;0.0;0.0
33;16:00;0.2;0.0;0.0;21.47;64.04;46.64;27.98;0.0;0.0;1182.85;-1182.85;-0.59;4806.6;0.0;582.9;0.0;1177272.7272727275;0.03;-3.95;-1.0;3.73;1.03;0.0;0.0
34;16:30;1.0;0.0;0.0;21.95;63.61;46.09;27.65;0.0;0.0;3556.73;-3556.73;-1.78;4890.7;0.0;556.7;0.0;1177272.7272727275;0.0;-3.85;-1.0;3.75;1.05;0.0;0.0
35;17:00;0.0;0.0;0.0;21.57;63.18;45.55;27.33;0.0;0.0;686.21;-686.21;4.08;4887.6;0.0;686.2;0.0;1177272.7272727275;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
36;17:30;0.84;0.0;0.0;21.93;62.75;45.0;27.0;0.0;0.0;3514.05;-3514.05;20.91;4770.9;0.0;979.6;0.0;1177272.7272727275;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
