Day;GD_Conventional;GD PF_Approx;HV PF_Approx;HV PF_Full;HV_Ratio
9;71.6;41.5;236.6;968.8;24.4
11;45.8;51.2;56.2;1866.6;3.0
Average;58.699999999999996;46.35;146.4;1417.6999999999998;13.7
